,comments,stars
0,"I cook all the time.  Not only do I prepare all of our meals from scratch due to family diet issues, but I have a large, organic garden and I preserve food from it all the time.  I love food with flavor so I use lots of peppers, onions, ginger and garlic!  I have worn out several garlic presses in my lifetime.  The last one literally broke when I tried to press ginger into some water kefir.  Tired of cheap crap, I got decided to find a quality garlic press.  Noting the life time guarantee, I purchased the Alpha Grillers Garlic Press and Peeler Set about a year and a half ago and have been using it just about daily ever since for both garlic and ginger.  It is fantastic!<br /><br />WHAT IS IN THE BOX:  Beautifully presented in a lovely gift box, I received both the stainless steel garlic press plus a silicone tube garlic peeler.<br /><br />WHAT I LIKE:  I have been using this garlic press for a year and a half and it looks as nice today as it did when I bought it.  It shows absolutely no signs of wear.<br /><br />This press feels solid and durable in my hand.  Use has proven it so.<br /><br />The stainless steel construction allows me to wash this in the dishwasher and I do.  Every time I use it.<br /><br />The silicone garlic peeler is much nicer than I expected.  Every year I make a couple of gallons of homemade salsa and peeling the garlic took forever in the past.  I started using the silicone peeler for my garlic and it revolutionized my garlic peeling process.  It works fast!<br /><br />Because I am no longer replacing my garlic press every couple of years, I will save money.<br /><br />This press works for ginger as well as garlic.  I have used it with ginger a few times and there isn’t the slightest bulge or bow where the garlic/ginger comes out.<br /><br />I am normally wary of rounded handles like this because they can hold water when washed.  I have NEVER had any water issues with this press.<br /><br />WHAT I DON’T LIKE:  I love this garlic press.  There is nothing I do not like.<br /><br />PICTURES:  I am including various pictures of the press in my hand for a size reference.  I have small hands.  I also have a picture of the part that extrudes the garlic.  It shows no signs of wear after a year and a half of constant use.<br /><br />I purchased the Alpha Grillers Garlic Press and Peeler Set at FULL PRICE.  I love this set and highly recommend it.  It definitely deserves 5 stars!",5.0
1,"This garlic press is strong and well made of stainless steel so it won't rust.  The round handles are comfortable to squeeze and don't hurt my hands.  Clean up is easy, just put it in the dishwasher.  A neat little bonus is the garlic peeling tube.  Just put an unpeeled clove in the tube and roll it on the counter with the palm of your hand.  It works great.  This Alpha Grillers Garlic Press comes with a cool box for storage that is lined to protect the peeler.  A must for every cook.",5.0
2,"Quality kitchen gadget.  Made of quality metal.  Great for the price.  I hate when I buy an inexpensive kitchen gadget and it is junk I just throw in a drawer.  This little press I use almost every week as I LOVE garlic in my food.  I've been on a heart health kick so I'm mixing fresh chopped spinach, garlic etc into ground turkey and making the most delicious burger patties!  The roller helps too, easily removing skin.",5.0
3,"Love it! I had a grocery store garlic press that I used for years and was always unhappy with the cheapness and the amount of garlic left behind. Then I came across this gem. I saw the great reviews and decided it was time for an upgrade. I am not sorry. I was impressed right away with the quality and feel. It presses 100% of the garlic through, where there is no waste. I love it! Thanks for putting a great product that works on the market.",5.0
4,"I have a love/hate relationship with garlic presses, honestly. I've had them fall apart in my hands, cut me, and be impossible to clean-- generally creating more work for me and wasting more time than the press was supposed to save! So it was with some trepidation that I ordered this, and I have to say that I was very pleasantly surprised. This press is sturdy and very well constructed. I pressed several cloves of garlic in a row on my first use, and found the pieces easy to separate (not come apart, but the top of the press has three pieces that separate on a huge) and wash. Very pleased-- and the peeler that came with the press is also incredibly handy!",5.0
5,"Broke 2 and the other two I bought were terrible, hard to grip and the plastic container broke. This Garlic press is just great and I love the press is attached, easy to clean and washes up great. The garlic presses out to such a nice consistency, not mushy or to big. The garlic cleaner works great, really nice. Had no problem with the grip size, it is study and easy to handle. Would buy again.",5.0
6,"I do not use fresh garlic very often because I find it really hard to peel it, and break it down into small enough pieces to cook with.  With this garlic press, I can now peel it, and press it to the right size.  The press is made from stainless steel and is fairly light weight.  It's not very large, so it fits perfectly in my utensil drawer.  Clean up is easy, and it is dishwasher safe.  A great kitchen must have!!",5.0
7,"Wish I had this kitchen tool years ago!!! When I received this in the mail, I was ready and waiting with garlic bulb in hand!! This great garlic press is just that, Great!!  Does exactly as advertised! I am preparing meals with fresh minced garlic and no mess, no cutting board and no sharp knife. Preparing garlic now takes only a few seconds, literally, and right over dish on the stove if I so choose. Cleans up exactly as advertised also! NO MORE PEELING!!!!!",5.0
8,"I've been using my peeler and press for at least two months now, and they are both great! The peeler makes short work of removing those pesky garlic skins and is a snap to clean, and the press squeezes out perfectly tiny garlic that gives my food that great strong garlic flavor without having big visible pieces of garlic in it, and woohoo is it a snap to clean, also! I simply squeeze out the garlic and then take the press immediately to the sink and run forceful water over it and throughout the basket until all traces of garlic are rinsed away. If there is any smooshed garlic stuck in a corner or whatever, I simply use the sharp pointed end of a knife to move it right out and then the water takes care of any final traces. When I do my dishes later, I give the press a dunk in the water and a quick once-over swipe of the dishrag to remove any last traces of garlic scent, and that's that!<br /><br />UPDATE 7/20/2016: The set is still going strong and working great!",5.0
9,"This is THE best garlic press I've ever owned and i've been through a couple. It crushes the garlic so well leaving just a tiny bit in the press itself. I would recommend this press to anyone who lovessssss them some garlic... There is nothing better than owning a perfect press, i find myself adding extra garlic just to use it lol. Now the peeler I can do without, to me its faster to just peel it with a knife and keep it moving. It did peel the garlic but it hurts a little but rolling it.",5.0
