,comments,stars
0,This garlic press worked great for us until recently when the piece within the handle came apart and won't go back together. This item has done great with light dishwasher use (mostly hand washing).  We have been using it for 8 months and now it will need to be replaced.,3.0
1,it's ok. precision fit not like the product it replaced — press surface tends to catch on the receptacle.,3.0
2,"no good, too much aggravation digging garlic out of presser.  might save some time from cutting it by hand.",1.0
3,The garlic get stuck in the groves and I have to use a knife to scrape it out and off.,3.0
4,Extremely disappointed. If you are a serious garlic eater don't buy this product. We use garlic in almost every dinner we make and it was done after one month. Lightweight metal bent out of shape and is now unusable. Don't waste your time. Spend a little extra and get a better press. I wish I had.,1.0
5,"It works, that's what I'm gonna say. But it's really tiny that only can fit one small-medium sized clove. It's also a little bit hard to clean, comparing to those that could flip over the back side.Besides, I found it being out of shape after a month.Overall  I thinks it's an ok product to thinking about its price.",3.0
6,"It went direct to the thrift shop.I would send it back, but it is not worth the freight.",1.0
7,Brent and misshaped the first time I used it... On garlic.,1.0
8,"Owned for 6 months. Use this more than once a week and LOVE it, but maybe I use it too much? The handles and or the press part have bent slightly. It now doesn't quite close all the way and doesn't work as well as it used too.",3.0
9,"it is easy for smaller hands, but the garlic still not crushed on the side.",3.0
10,I used this press about 10-12 times over a 2+ month period.  The hinge screw broke and now it's unusable.  Don't recommend.,2.0
11,Not stainless steel.,1.0
12,Doesn’t always line up like it should when you go to press.,2.0
13,Bought this with the understanding that it was stainless steel as the title indicates. Make sure to note the description says &#34;zinc ally&#34; which I assume means zinc alloy. Item is heavy but the mechanism feels quite flimsy. Very disappointed given the high rating.,1.0
14,Same situation as another 1 star reviewer wrote. After several uses the round reservoir bent into an oval and the garlic now squeezes out of the sides. I hurt my finger squeezing it together after it bent and threw it away. waste of money.,1.0
15,Item did not meet my expectation. Questionable quality. Came packaged in a manila envelope. Has some calcium buildup on head of garlic press (see picture in review).,2.0
16,"This is a FABULOUS press. Does everything I hoped it would,I gave it a 2 because it suddenly fell apart.  Not sure if I got a dud or not but the metal pin that acts as a hinge popped out after only using if a dozen times.",2.0
17,"Looked great, but after only a few uses the sides budged out and it now extrudes more garlic from the oval sides of the cup than through the holes.  Stay away.",1.0
18,"Well made and sturdy, but about half the garlic squeezes out of the sides and it is difficult to clean.",2.0
19,"Bends w use, I had to use a wrench to bend it back every day after 1 mo, now it's my back up press, cannot use daily due to softness of metal.  I use it as a ginger press.",1.0
20,Cheaply made. Flimsy.,1.0
21,Deformed on first press.,1.0
22,Broke after the third use.,1.0
23,Already broke do no,1.0
24,"The product is OK, However I don't think it worth so much money.",3.0
25,Handle broke off after using for 3 weeks,1.0
26,Im disappointed i used twice the plastic &#34;black&#34; falling apart.,1.0
27,"Seems solid enough, but both the plastic inserts (not soft as the pictures would lead you to believe), fell out on the first use.  Its also hard to clean out all the holes that the garlic is pressed through.<br /><br />As for use, its performs as intended.",2.0
28,Shoddy construction on a cosmetic element. It is an otherwise fine garlic press. Next time I will buy a different press with a solid metal construction without cheap plastic bits that have no good reason to be there that I can discern.,2.0
29,plastic piece came out after only one use,3.0
30,"I hate this garlic press. The garlic squeezes out the sides and most cloves do not fit in it. I almost gave this 2 stars for being mostly metal, but the seam between the plastic and the rest of the press is annoyingly misfit.",1.0
31,"Product arrived dirty/damaged. Had some crud in it, almost looked like it had corroded or something. Returned.",2.0
32,This garlic press was really messy and difficult to clean. I wish I didn't get it,2.0
33,"The build quality of this item is exceptional, however, the chamber is too small to be used effectively for most pieces of garlic. The circular chamber doesn't fit garlic cloves well, which are typically oblate in shape, so a rectangular chamber would've been much better. While the press is easy to use, the extrusions on the top surface are unnecessary and make it impossible to press garlic with the peels still on since the extrusions press the skins through the bottom.<br /><br />Unfortunately, this is a product that's well built but poorly planned. I wish I had gotten a garlic press with a differently shaped chamber.",2.0
34,"I bought this because I was tired of hand mincing garlic...well looks like I'll be going back to hand mincing. I've used this garlic press twice now. I was preparing meatballs, and pressing garlic into the meat and didn't notice the handle screw fell off. Thank goodness I felt it while rolling a meatball or my guests would have bitten into a nice chunk of screw. Needless to say I will be searching for something higher end next purchase.",1.0
35,"Most of it is not made out of stainless steel. Maybe one little bolt is or something, but it's made out of some sort of cast metal with some sort of finish material over it.<br /><br />Also, half the garlic squishes up around the edges when you press down rather then out the bottom.",1.0
36,"This was such a dissapointment. I'm a pettite femaile and I trully have week arms, I usually go to my husband to open jars and stuff for me LOL. I just used this garlic press on 1 large clove of garlic that i chopped in 3 pieces. After pressing down 2 pieces the &#34;head&#34; totally distorted and became oval. I could barely separate the pieces. I really wanted this to work since I wanted stainless steel press not the old one that was sturdy but kept loosing the paint after a while.",1.0
