,comments,stars
0,Solid to the grip.  Well made.  Love the way the nubs line up with the holes to force the garlic through. Stainless A+,5.0
1,"The garlic press arrived with a slightly different color tone. It is more closely to the color of the stainless steel that the press is made of, and feels solid when hold in hand. The teeth and the base match with each other quite well, so most of the garlic comes out when press hardly. The residual left inside also comes out easily when I release the arm, so I don’t waste any of the garlic. I also like how easy it is to clean the garlic press. Just press couple of times under running water and voila it is as clean as it was never used. I tried the garlic with peel but the peel stopped the garlic from coming out. It is not a big deal to me though. Overall I am satisfied with the quality of this garlic press and recommend it.",5.0
2,"I've had this garlic press for 8 months now and use it regularly. Works just as well as when I first purchased it. I've had several garlic presses before and eventually the hinge would break or the press-part (sorry don't know what it's called) would not line up as well or would break. This is my first fully stainless steel press and it's been GREAT. Definitely worth the little extra cash. Also, I chose this one because it doesn't have the removable basket that some presses have, but I find really annoying. This is super easy to clean too. I highly recommend.",5.0
3,"Absolutely love it, this garlic presser is not the cheap garbage you could accidentally get from online shopping. It's well casted in stainless steel and still looks shiny and brandnew after I throw it into a dish wash machine, the handle fits well, the garlic comes out well minced. A very good choice for anyone who likes adding garlic flavor to their food while keeps hands clean. 5 stars recommended!",5.0
4,"I used another garlic press before, but it was not really . This one is the perfect one of excellent quality and was exactly what I was looking for. Shipping was fast，Simple and easy to use design. Easily cleans by flipping the handle around so the pegs push through the holes. One of the best bangs for your buck in cheap tools! This garlic press is also easy to clean.",5.0
5,"Best of the best! Heavy material with coasted for function. Very fine design! Smooth holes and puncturers make it easy to press and clean. I use 1 press for bigger size. The paste is just right 2 more presses. It's easy grabbing, decent weight on hand. Mostly important one hand can handle it. I don't feel any extra pressure needed compare to other brands.",5.0
6,"The garlic press arrived quickly. The entire press is made of stainless steel and the handles felt smooth and comfortable to the grip.I tried the press on both peeled and unpeeled garlic cloves and it worked perfectly. The entire garlic clove was pressed through and for the unpeeled garlic clove, only the skin was left behind in the presser. With this garlic press, I never have to chop or mince garlic again. I would definitely recommend this product.",5.0
7,Really good garlic press. It is sturdy and not too heavy which I really liked. I was impressed with the additional tool this garlic press brought. First time seeing silicone peeler. Took me a bit to use peeler properly but after mastering it is the best tool ever. It is nicely compacted and does not take much space in kitchen drawer,5.0
8,"After trying this garlic press out, I put it in my kitchen drawers and sent the &#34;good&#34; one out to the motorhome. I like this one much better! It is big enough so that I don't have to chop up garlic cloves to make them fit, and the press pushes the garlic straight through the press - no more poking and scraping to get pieces of garlic out of the holes when I clean it.",5.0
9,"This garlic press is so good, and it has changed the way I cook,  I love fresh garlic in my cooking, and I used to spend a lot of time chopping it up on a cutting board, accepting the fact that my hands would always have the lingering scent of garlic. Now that I have this garlic press, it has reduced my chopping time in half. It's so easy to use, no hassle to clean, and now I get to enjoy even more garlic in all my favorite recipes. Highly recommend.",5.0
10,"The best garlic press I've had!!! I had three before, all of them wasted a lot of garlic in the end.But this one,not at all!!! All garlic can be pressed really well, no waste!!",5.0
11,"Having the proper tools, makes all the difference for successful cooking. I decided to find out what a proper garlic press might do to enhance my cooking and I have to say I just love this unit! It has the proper pressure to mince a couple cloves of garlic at a time and makes quick work of the prep.",5.0
12,"I used another garlic press before, but it was not really . This one is the perfect one of excellent quality and was exactly what I was looking for. Shipping was fast，Simple and easy to use design. One of the best bangs for your buck in cheap tools! This garlic press is also easy to clean.",5.0
13,"It worked!! I've purchased another one from ebay which is cheaper but it broke the first time I used it. This one is a little bit more expensive but it's very sturdy and really worked. I mean, I'd rather pay a few more bucks for something that can last for a while. Would recommend",5.0
14,Works great as long as you clean it IMMEDIATELY after use! I forgot to do so once and I am have trouble removing the garlic residue on the inside. I've scrubbed it and soaked it to no avail.My hands will no longer have that lingering smell after crushing.Saving time in my kitchen.,5.0
15,"its a very solid garlic press, made of metal. It is way better than other garlic press I purchased recently. This one can actually mince the garlic into some pieces and push it out. however, the other one simply squeeze the garlic instead of mince it into pieces. From the design and the materials, I can see it will service my kitchen for a very long time. This is the right garlic press to buy",5.0
16,"It saves me a lot of time. I don't need to waste time chopping the garlic. Just put the garlic in and press. I have a little concern about its material. The title says &#34;stainless steel&#34;. Actually I don't think so when I feel it. Anyway, it's a good product.",5.0
17,"It does an excellent job of forcing the garlic out of its shell and onto my food and fresh garlic tastes good and keeps the vampires away.  What more could you want?  I have arthritis in my hands.. the handles treat me nicely, and the squeeze is remarkably easy.",5.0
18,"It can make the garlic into pieces. It is very light to use and it is easy to clean.<br />Very useful and good quality. I use lots of garlic for cooking, and this saves me so much time trying to slice or smash them. Just by one easy press, it is ready for use. Nice",5.0
19,"It is a daily used garlic press. Since I really love to eat garlic, it became very important in my life. I was using a garlic press which I brought in the IKEA. However, it was broken. Thus, I used this new stainless one. It can meet all I requirements​.",5.0
20,"I have gone through many crushers and my main complain about them is that they hurt my hand, they require a lot of force to crush the cloves, they are made of cheap materials and they break. This crusher is AMAZING! It is made of solid material so it won't break! It is convenient and easy to clean! The curvy handles make the grip very nice and I never once hurt my hand. It crushes the garlic very well. It is very easy to use and I would highly HIGHLY recommend it. Cleaning it is a piece of cake, since it opens up, it is very quick and easy to take off the leftover skin.",5.0
21,"These garlic press helps me to save time on cutting garlic and it's easy to use and clean. Just give a little bit pressure on it, the garlic will come out on the bottom. I also use it to make ginger juice. Works great and helpful! Highly recommended!",5.0
22,"This product is durable. Good construction, The best thing ever. Love it that it's small and so easy to use.This garlic press is light weight doesn't get stuck while using and it's made of good quality material I would recommend this to anyone .",5.0
23,"Very powerful to crush garlic, lemon and ginger. I use these materials a lot daily in preparing food and drink. With this product, I don’t have to cut ginger and garlic with knife anymore, so it saves me time. It’s stainless and easy to wash.",5.0
24,This garlic press is sleek and luxurious upon initial contact. Your also going to be impressed by its ergonomic performance. I don't understand why this isnt available locally. Everything else I've ever owned or seen is a ripoff and a waste of your time. Yes pampered chef that means you too. In your face buffett.,5.0
25,This is the perfect garlic press. it is of excellent quality and was exactly what I was looking for. Simple and easy to use design. Easily cleans by flipping the handle around so the pegs push through the holes. One of the best bangs for your buck in cheap tools!,5.0
