,comments,stars
0,"I had such high hopes for this garlic press. But, I have to join the 1-star group. The main problem is that the press extrudes more garlic around the edges than through the holes. And this is with just one clove in the pocket. (see photos)  Also, I normally scrape off the garlic with a knife. But the press holes area can slip inside the side edge pieces, and when you swipe your knife over it, it isn't flush with the holes so it is difficult to scrape off all the garlic. I have a 30+ year old Susi press that is still working, but I wanted a newer, nicer one that was easier to clean. I'm returning this and going back to my old Susi.<br /><br />The pros:  It is very pretty. It is easy to clean. It is easier to press (takes less force).<br />The cons: Garlic squishes out around the sides, so you get less garlic and you have to clean it out of the nooks. Also - it comes with a large label stuck to one handle and also covering part of the press. It takes quite a lot of work with alcohol or acetone to remove the gummy parts of the label.",1.0
1,"As you know, you'll pay a LOT for this tool, and I used it for the first time last night, and was disappointed. (I didn't have another one to compare this with, so maybe what I experienced was actually superior to others. I just don't know) Although it was suggested that it can be used with the peel on the garlic, this wasn't the case. I tried this, and the &#34;peel&#34; wound up stuck in the piece with all the holes that you can pop open and clean. It was easy to clean, but that part of the device winds up with a square piece of &#34;peel&#34; if you put in garlic with some of the peel on it. I also tried it with ginger. I peeled the ginger first, and placed pieces inside. After a good squeeze, it yielded very little ginger. Ditto with the garlic. You don't get as much out as one would expect, and you have to scrape off the garlic in order to use what winds up on the device after inserting the pieces and squeezing the handles. For those of you out there who have used garlic presses: Is this typical? The the garlic sticks to the blades, and you have to scrape it off?",3.0
2,"I returned this. The garlic just didn't go through the holes as much as it oozed out the sides. I bought this on recommendation from Cook's Illustrated and am usually very happy with their advice, not this time. For the price I thought it would work better, just not worth the price.",1.0
3,"I ordered this garlic press after reading that it was rated the highest with America's Test Kitchen. I use garlic a lot in my cooking, so I wanted to buy the best. I bought it in Oct. '15. I was pleased with it and it seemed sturdier than any other press I've owned in the past. I loved the ease in cleaning. I was using it yesterday (Aug. '16) and I noticed one of the pins holding it together came out, and when I looked on the other side, the other pin was missing. I've always hand washed it, and couldn't believe it fell apart like it did. This was the most expensive press I've ever purchased, and I'm so disappointed that it broke within a few months.",1.0
4,"I really hate to do this.  I have to give a bad review.  I bought into the ATK/Cooks Country or whatever iteration of that show I saw or magazine I read and dropped the coin necessary to obtain a feeling of ultimate supremacy in garlic crushing expediency.  At first I loved it.  The holes were smaller and therefore the garlic was crushed finer.  I like that.  I did not find it easy to use at first.  My wife hated it immediately and stayed with her goto press, the OXO.  I persevered and used the Kuhn exclusively even though I experienced what other one star reviewers had seen.  Capacity not as expected, garlic squeezing out around the press plate, and it was a little difficult to clean, quickly anyway.  Then it broke.  One of the pins that hold the hinge rod flat out broke and the other one just fell out.  All at once.  It is irreparable.  All I can do is toss it.  I just bought it in MAY!!!!<br />Upon reflection it had always seemed clumsy to use and in the end my wife was right AGAIN.  Sigh. Oh well.  We still have the OXO that is far easier to use and clean.",1.0
5,"Disappointed after high expectations. I bought the Kuhn Rikon press to replace my old Zyliss based on the Cook's Illustrated recommendation and the Amazon reviews. I've been using it for about a year and am finally giving up. I plan to buy another Zyliss. With the high price, I was expecting a superior product and am disappointed that I have to ditch it and buy a something else.<br /><br />The problem is that the press doesn't go a great job of forcing the garlic through the holes. The plate with the holes doesn't fit tightly to the sides of the press, so about 1/4 of the garlic gets forced out the sides of the press, resulting in long strips of garlic that I have to mince before using. Further, every time you press a clove, a sheet of garlic fiber is left behind covering the holes. This produces more resistance when you press the next clove, so even more of the next clove is forced out the sides. As a result, in between pressing every clove, we have to scrape the garlic fiber out with our fingers to clear the holes for the next clove. Instead of making pressing garlic easy, this press creates a lot of waste and extra work.<br />Pros: Sturdy, Easy to Clean, Stainless Steel (so no surface peeling).<br />Cons: Waste, Extra work chopping the mess left by the press",2.0
6,"it is from Amazon - so it cant be a knock-off, but really?<br />is this the garlic press everybody was talking about?<br />at least with my old garlic press the cage was one piece, so garlic would squeeze just around the pressure plate.<br />here the garlic is all over the place.<br /><br />nice idea, very poor performance.<br />save the money and go for a 10$ any-brand garlic press, this one does not live up to its name.<br /><br />End of June 2016 Update:<br />After the third time using this product, a piece of metal broke off it.<br />i think i would move forward with returning this item. waste of time, effort and money.",1.0
7,"I was seriously let down by all the reviews that praised this garlic press.  It's true the construction is sturdy and seems durable, but the design is seriously flawed.  Unlike my old garlic press, which had a &#34;basket&#34;-style hopper that had four sides, this Kuhn Rikon Epicurean's hopper has only one side.  This means that when you press a garlic clove, garlic squeezes through the cracks from three sides of the hopper.  Then the squeezed garlic that has missed the holes in the hopper either slips into the dish I'm preparing (as a smashed, flat piece) or is ridiculously difficult to try to push back into the hopper to try again for a proper pressing.  It's difficult to put the squeezed or smashed garlic back into the hopper to try again because when you open the press to get to the garlic that has escaped, there's no catch for the handle and the hopper flips out, dumping whatever garlic is still in the hopper.  What's more, it's a pain in the neck to clean because of the design, so you have to rinse it out as soon as you're done using or you're screwed.  My advice: Look for a garlic press with a large, oval, &#34;basket&#34;-style hopper.  Stainless steel or not, I'd much rather go back to an Oxo.",1.0
8,"Fell apart in my hands after fewer than 10 uses.  Colorful descriptors could be used to tell you how I feel about this product but I'll let you fill that part in.  Item suffers from a fatal flaw: there is a swing arm attached to the compression handle which is fastened by small pins.  It's the upper most pin located on the compression handle - you can see it in the product picture.  On it's final use, may it RIP, after compressing a clove of garlic and opening the press to remove the usual garlic guts, the whole of the compression mechanism collapsed.  Not entirely sure what or why this happened, likely a defective product, which I get, but with the number of other reviews I'm seeing that describe product failure, a customer is taking their chances with this item.",1.0
9,"It's comfortable to use and minces the garlic just fine.  However, the chamber is smaller and the handles are not as ergonomic as my old Oxo garlic press.  I had to trash my Oxo garlic press because the chamber got corroded and looked gross.  I wish the handles of the Kuhn Rikon garlic press were rubberized (like Oxo's) to get a better grip, and that it had a larger chamber so it could fit more garlic.  I do believe the Kuhn Rikon's stainless steel material will resist corrosion better and outlast Oxo's pot metal chamber.  Overall I'm happy with this product and wouldn't hesitate to recommend it to others.",3.0
10,"Add me to the list of complaints regarding the head shearing off of the pin that holds the top and bottom pieces of the press together. This happened the third time I used it, while pressing a single clove of garlic. Unfortunately, as we were out of town when it first arrived, by the time I returned  home and started to use this press, I was already past the time to return. This is either a faulty design, or mine was a faulty product. Either way, I recommend you STEER CLEAR of this KUHN RIKON Garlic Press.",1.0
11,"These was recommended as the Best by Bon Apetit or Cook's Magazine. I find it very heavy, hard to use, difficult to clean, expensive and wasteful because more sticks to it than comes out of it. Hopefully your experience will be different.",1.0
