,comments,stars
0,"If you love garlic, if you love tools, if you love to cook . . . why don't you have this garlic press? I asked myself that once I held this baby. Thick, hefty (to too heavy) stainless steel, 308 I think, and fits the hand. Adequately long handles provides great leverage so if your grip isn't what it used to be, then this will help.<br /><br />Liquifies the garlic. Easy to clean; flips open and the breach is very accessible. Fit and finish is very high and quality is top-shelf. Pricy but what you get is a tool which can be handed down to another garlic lover.",5.0
1,"Very heavy duty/solid feel.  It is made in China but looks to be a very good quality.  The mesh part is on a hinge which allows it to flip out so it can be very easily cleaned.<br /><br />Did a pretty good job of mincing the garlic, but I still felt there was a bit of waste left behind (I peeled the garlic, but was left with a pulpy mat on the face of the mesh) - overall though it wastes very little garlic compared to a cheaper model I had.  Also does not have a large capacity, I had to cut a big clove in half to get it to fit, although I'm not sure that it is really any smaller than other presses.<br /><br />I think this is definitely worth the price, but the Susi 3 I had worked just as well or even better, almost no remaining pulp.  The Susi was a little easier to handle as well",4.0
2,"Why would anybody pay $40+ dollars for a garlic press you might ask?  Because it is that good.  I have had this garlic press for 7 years.  Before that, I owned several other brands costing far less.  The best I had owned to that point was the Zyliss.  There are 3 things the Kuhn Rikon does much better than the Zyliss.  First, it cleans up very quickly.  The main reason for this is the piece with the holes rotates so you can access both sides.  Takes maybe 30 seconds to completely clean.  Second, it gives you a lot of leverage.  You can even mince garlic when its frozen.  It is easy to do 2-3 pieces at a time.  Third, it is durable.  7 years later, it still looks and works like the day I got it.  No rust, no chipping and no visible wear.<br /><br />What is the bad news?  If you have small hands, it may be difficult grab both handles properly.  My wife, whose hands measure about 5 inches in length finds it a bit big.  This causes her to pinch herself.  The problem is that the top handle comes down over the bottom handle on the sides. If you struggle to get your hand firmly on both sides with some room to spare before pressing down, you can catch your skin as you press down.  I have probably used this for 1000 cloves and never had the issue.  I am guessing that somewhere between 5.5 to 6 inches is probably the minimum length your hand should be to use this safely.<br /><br />There is a point where this tool makes sense and point where it does it.  If you like the press several pounds of garlic at a time (say a bag from Costco), a food processor will do the trick in a fraction of the time.  If you only use 1-2 cloves of garlic at a time, this is probably just too expensive.  However, if you find yourself needing to regularly press 5-50 cloves at a stretch, this is what you want.",5.0
3,"In our family we cook with a lot of Garlic and have went through many other garlic presses in the past some within a few months, some have broken and some we have thrown out because of them rusting in the dishwasher.<br />So enter the Kuhn Rikon Garlic Press, sure it's almost twice and sometimes three times the price of other garlic presses on Amazon, I wanted to get something that would impress my wife &#34;Happy Wife, Happy Life&#34;<br />Upon opening it I was immediately impressed with the weight of the thing, it's quite a hefty press compared too others I have had in the past, also this thing screams precision (if there is such a thing between Garlic Presses) the thing just fits together, opens and closes perfectly no give or wiggle.<br />However probably the best thing about this press is the fact that after you have pressed a clove and you get the left over skin of the bulb left in the cradle usually you have to reach for a knife to scrape the old skin out, not with this one, the whole cage that holds the bulb when squeezing opens completely up and the used skin just falls out ready for your next bulb to be squeezed.<br />This is not the cheapest of Garlic Presses but you get what you pay for with a quality built excellent press that works perfectly every time, I generally look for items made in the USA but this is made in Switzerland and you can't go wrong with this or Rolex watches, both made with great care and quality.",5.0
4,"High quality item, larger than other garlic presses.  If you are pressing dozens of cloves frequently, this is a great tool.  But, it is clumsy to use and takes up more drawer space than the standard Zyliss.  It does a good job of extruding all the garlic, but the design is flawed due to ridges on the outside prevent all the garlic from being scraped off.  When smushing a dozen cloves, one after the other, it's not important, but for single clove recipes, it's a pain.  The hopper is not much bigger than regular garlic presses.",4.0
5,I ordered the garlic press I was using from Williams Sonoma about 26 years ago.  It was a bit aggravating but always got the job done.  My hubby of 5 years hated it because it was hard to clean so he gave me this one as part of my Christmas gift.  I am an avid cook and he is my volunteer sous chef/dish washer.  He decided on the Kuhn Rikon based upon the recommendation of America's Test Kitchen.<br /><br />When I opened the gift and saw the box I honestly didn't think it would be that much better than my old one.  Hubs used it first and raved about how wonderful it was.  I used it last night for the first time and boy was there a huge difference!  It is much heavier and presses garlic MUCH easier than my old one.  It is very easy to clean.  I was able to get much more garlic out of a clove than ever before.  I usually press garlic between 5 and 7 days per week so I am very familiar with the process and how much a clove contains (or at least what my old press could squeeze out).  I feel like I've gone from driving a 26 year old clunker to zipping around in a luxury car!,5.0
6,"This is an awesome garlic press.<br />Stainless steel, so no corrosion.<br />Holes are not too small, not too big.. Just right!<br /><br />Ingenious design, makes it a breeze to clean.<br />Design also gives good leverage and power for squeezing with ease and comfort.<br /><br />Everyone who uses it asks where I got it,<br />and I've given two as gifts to family members.<br /><br />My previous favorite was a zyliss, which i would still be using to this day, except it was made of aluminum.<br />The outer coating on the zyliss eventually wore off, resulting in black aluminum corrosion/juice getting in my food, which was not acceptable.<br /><br />I've had this for over a year with regular use and I'm delighted with it.",5.0
7,"Fantastic kitchen gadget!  I didn't think I needed an expensive garlic press, but boy was I wrong!  We're a family of five that enjoys cooking and have peeled and chopped a lot of garlic and ginger, but not anymore.  Peeling is unnecessary with this press making short work of a whole head of garlic (one or two cloves at a time) or many pieces of ginger.  Its simple, well made, easy to use and easy to clean - I really don't understand what makes it so good, but it is that good.  We're literally using twice as much healthful garlic with this press.<br /><br />The company has also been great.  The first unit that they sent me got a lot of use, but one of the well made hinge pins kept falling out under heavy use.  I contacted Kuhn Rikon and they immediately sent another.  That said, even with the hinge pin issue, I would not have returned this product - its just that good!",5.0
8,"Excellent garlic press. We use it all the time for dried homegrown garlic. No complaints at all. Easy to use, easy to squeeze with the curved handle and not too big of a reach to get the handle closed. Easy to clean, and as with anything, it is easiest to clean if cleaned soon after using instead of allowing the remnants to dry on it. We haven't used it to crush garlic with the skins on, but that's because that is the way we like to use it; based on how well it works, I'm guessing it would do fine if a single skin is left on a garlic clove before pressing.<br />Highly recommended for anyone who uses cloves of garlic. This press definitely is better than dicing cloves by hand with a knife and gives better results than squishing them with a mortar and pestle.",5.0
9,"Absolutely the BEST garlic press that money can buy.<br />Mechanical advantage is engineered perfectly for easy squeeze.<br />Press openings are sized just right for fragrant expression.<br />Clean out of bulk remnants is quick and simple, but requires some extra fuss for small remnants inside openings.<br />I've put through the dishwasher numerous times without signs of wear.<br />All stainless steel construction and VERY sturdy.<br />I wish it had slightly more beveling to the underside/inside edges of the grip for improved feel, but that's a minor quibble.",5.0
