,comments,stars
0,Easy to use and clean.  I've had a few different presses over the years but this one seems to be the best of all the past presses.  The basket for putting the cloves in is huge and more of the garlic is actually pushed through the grate vs. other presses which force lots of the garlic around the sides of the press rather than through the grate.  Dislodging pressed remnants is easy with the cleaning tool built right into the press.  The hinge is robust and I can see this lasting for years.  I use this almost every day because it's so easy to clean.,4.0
1,"This is incredibly sturdy and effective.  I can put in multiple whole unpeeled cloves and this thing still works great.  It saves a lot of time.  Also, the bumps for pushing out the peels help with cleaning.  Anything I don't get, the dishwasher does!",5.0
2,"I usually mince my garlic by knife but every once in a while the garlic should be pressed. I got this for my brother, whom I'm visiting, and I'd forgotten how good it is - and especially how easy it is to clean!  I have one at home and will start using it again.",5.0
3,"So far works well. Purchase for my Mom who has weakened wrists/hands with arthritis, and she says it works much better than her old one. Has a nicer heavier feel to it which makes it seem more sturdy.",4.0
4,This garlic press is great! it makes cooking with garlic SO much easier. The garlic can be inserted in the press with the skin and out comes small prices of garlic with no skin! After using this tool in the kitchen I would never want to back to manually mincing the garlic my hand.,5.0
5,"This is the easiest to use garlic mincer that I've owned. It was worth the extra money. I have bad tendinitis in my dominant wrist, and this is the only garlic mincer that I can use with it.",5.0
6,I got rid of my Pampered Chef press after I used this one the first time.  I use it weekly and is the easiest to clean.  It's the only one I will ever need.,5.0
7,Been wanting to get one for a while my mother in law as a different one and it makes cooking so much faster especially since I use garlic in like everything! Hers doesn't have the side that helps push the skin out of the holes and her holes are smaller. I wanted to get one that had that so i didn't struggle to remove the the skin. Used it once so far but it works great!,5.0
8,"Fresh garlic tastes so much better than powdered garlic. And so much healthier for you. Garlic press works great, has high quality design and easy to cleanup.",5.0
9,OXO never disappoints and this garlic press is no exception. I've tried many different presses and I like this one the best.,5.0
10,"This is excellent.  It has a good feel in the hand, and the design cleans the crushed garlic bits very successfully.",5.0
11,Love this garlic press!  Easy to clean and can be put in the dishwasher!  Wish I had purchased it sooner!,5.0
12,"I've been using a garlic press for years, and my old one finally gave out. I purchased this one because I've had good luck with OXO in the past. They did not disappoint. I liked the weight of the press, and it was actually a bit easier to squeeze than my old one. The built in cleaner is a very nice touch.  On my old press it was a separate tool that I was always losing, so I really like that this one is attached. It cleans up easily, and is easy to use.",5.0
13,Makes mincing garlic a whole lot easier. Aside from this i have no problem cleaning it. Good buy.,5.0
14,"The design of this device makes it the best press available, including the Rowav.",5.0
