,comments,stars
0,Not very good.  Leaves a lot of garlic in the press.  Not near as good as a Pampered Chef Garlic Press.<br /><br />No peeling?  You would have to be very strong.  The peel wraps the clove and the minced garlic does not pass through the peel.,3.0
1,More expensive than better IKEA items out there.<br /><br />It's a pain to clean and to remove the crushed garlic. The cleaner provided is useless because it just bends when you try to get the garlic out.,2.0
2,"Worked well the first time. Cleaned out nicely. When I used it again, it clogged, and the cleaning tool didn't clean the press. I haven't used it again. I don't understand all the positive reviews.",1.0
3,"Didn't remove all the skin, faster to just use a knife. Waste of money, thank goodness it was cheap",1.0
4,"Difficult to press, once the garlic is pressed it has to be scraped off. Not what I hoped but it's ok.",3.0
5,"After reading Cook's Illustrated's recommendation of this press, I was all  set to love this press and tried several times to change my mind, but I just didn't.  Instead, I bought a Calphalon garlic press that I think is a much better one.<br /><br />Pros of Zyliss:<br />(1)It does press most of the garlic out.  Slightly more if the cloves are prepeeled.<br />(2)It can press a few cloves at once.<br />(3)It comes with an attached cleaner, which is hard to lose.<br /><br />Cons:<br />(1)  It is hard to squeeze multiple cloves, especially if the cloves are unpeeled.<br />(2) If you want to press multiple batches, you have to clean out the peels from the previous batch before proceeding.<br />(3) You do need to use the cleaner (or a bamboo skewer or other pointy device) to get the smashed peels out of the hopper.<br />(4)If the cloves are unpeeled, the garlic left behind is particularly tough to clean out because the holes are slighly recessed on the inside of the hopper.  It is difficult to get anything in there that is effective at scrubbing the garlic out.<br /><br />The Calphalon garlic press has built in spikes on the plunger.  It pokes through the garlic skins and makes it easier to press the garlic.  The skins stick to the spikes so when you open it back up, you just peel off the skins and move on to the next batch (or leave them, add more garlic to the hopper and keep pressing.)  It doesn't allow garlic to squeeze up past the plunger.  However, IF you decide to peel the garlic first, it does leave more behind than the Zyliss and it is then harder to clean the remaining garlic off the spikes.  (Unpeeled, both the Calphalon and Zyliss leave a similar amount behind.)  Not being willing to do any more work than is required, I simply solve that problem by not peeling first.  A toothbrush works great to clean off anything stuck in the spikes.  The only other down side to the Calphalon is that the hopper is a bit smaller (normal size as opposed to Zyliss' oversized hopper), so you may need to do multiple batches if you are pressing a lot of garlic.  But it is easy and in the end, less time consuming to use and clean than the Zyliss.",99
6,"This is the second press we have purchased. We really love the press but the quality is not the best. The first one lasted about 1 year... We just purchased another one about 1 MONTH ago, and the metal pieces that press the garlic, BROKE. I am not a strong person and am upset that we just spent money on this again to have it break 1 month later. Huge bummer!",1.0
7,"It not what I expected,for the price, I thought it would do more!",3.0
8,"My older Zyliss (20 years old!) did a much better job if getting the most out of the garlic clove. This one, while certainly more efficient, leaves a lot of the garlic clove un-squeezed.",3.0
9,"I had the same brand garlic press for years and loved it. I used it often and always washed it in the dishwasher. Eventually the coating wore away after about 15 years and left a black stain on everything. This one seems to be as good or even better than my old one. I'm going to hand wash it though.  Maybe it will last a lifetime then.<br />After less than a month of use and only hand washing the item, the coating is starting to come off. What took over 15 years now only takes one month so I had to reduce the stars for this.",3.0
10,Excellent product I highly recommend this item for you.,3.0
11,"Had a zyliss press for years that we loved - the pin finally gave out so I bought this.  After 10-15 uses, the metal snapped and the section with the holes broke off entirely.  It was too late to do a straightforward return - am now working on getting a refund.  After emailing was offered $4 for the slight damage... see picture above of the slight damage!  Waiting for a call back from customer service.",1.0
12,"The garlic receptacle... barring a more informed name, is too small, the metal it's self is of decent quality but the physics of the press are off and the floppy press part is annoying. The little cleaner thing that comes with it falls out if not careful esp while pressing, and mine ended up getting eaten in the disposal and now looks a hot mess.  If you use lots of garlic and actually cook frequently look elsewhere. This seems like a product for a sorority girl not a serious everyday ...cooking person..",2.0
13,"I've had a Zyliss garlic press for 20+ years which I really love.  I've never found another brand of garlic press that presses garlic so effectively. My boyfriend didn't have a garlic press so I wanted to buy a 2nd one to keep at his place.  To my surprise, Zyliss no longer makes the ""normal"" size garlic press.  I bought the jumbo model, but my biggest complaint is that it is simply too big and unwieldly in my hands.  Maybe a male chef with giant hands can use this thing to squish 3-4 cloves of garlic at a time, but I don't have the strength.<br /><br />Fortunately, it wasn't hard to find a vintage Zyliss garlic press, normal size, on eBay.  I got one that looks like it was never even used.  Now I'm happy again!",3.0
14,good job,3.0
15,"Meh.  I'm not really overly fond of using a press, but it does a good job.  Does clean well.  It's a bit heavy and somewhat difficult for my arthritic hands, but I do use it occasionally.  It's just not that great for me personally.  You might find it to be the next best thing since sliced bread.  Had I known the things I know now, I doubt I would have purchased it.  Definitely not for the elder persons hands.",3.0
16,I bought this thinking it would be easy to use and easy to clean. It is not a bit better than a cheap garlic press I had. It actually is difficult to clean. I never use this and paid way too much for it.,3.0
17,"first of all, it is true--you will have to apply a lot of pressure to use this instrument. you can't fit more than 2 cloves of garlic in press. when you try to press two cloves as opposed to one, you do have to apply even more pressure. the cleaner that comes with it is helpful but it can be really hard to remove the garlic that is on the outside face of the press where it comes out. i need to scrape it with a knife just to get the garlic that i have pressed off to be used in cooking. pressure and time applied for use and having to clean it each time i press it and the great energy and force needed to press the garlic makes it worthless. i can do it the old way which is peel the cloves and use a grater. the old way doesn't hurt my hand and i save time. i was really hoping this would be something i can use in the kitchen and save myself time and mess. its not. back to grater.",2.0
18,You need a man's strength to close the handle and press the garlic.  This is going to lay in the drawer while I keep using my old one.,3.0
19,When the handle broke on my old garlic press I decided to find a really good one and unfortunately I relied on the reviews.  Many of these people must not have ever used a decent garlic press if they think this one is so great.  It is very light weight aluminum with a little swivel foot for the pressing. I really don't get the swivel because I find it annoying to line up. My old one was just two solid pieces with a pin hinge and to clean you just flipped it backwards.  This Zyliss has a little plastic cleaner that you have to take out and line up with the holes to clean. One more piece to get lost.  Very disappointed.,2.0
20,I give it a three stars because that fact that the package was open and clearly not a new product and it shouldn't be priced as new. But it does work well.,3.0
21,"The utility is great, but I really wish the material was better like stainless steel. I have a feeling that if not properly cared for, the material will corrode or rust.<br /><br />The built-in cleaner is a plus and overall, I like the item.",3.0
22,"The jumbo version is much better after having both due to the amount of garlic cloves each can accommodate.  This one is good for small quantities used i.e. 1 clove at a time.  But high quality regardless, 2 stars for amount of cloves it can use each time while the Jumbo one surpasses this in much greater quantities of cloves used at an instance.",3.0
23,"Yes, it does mince garlic.  But it takes a fair amount of elbow grease to mince it (compared to other garlic presses I've used).  And I'm also not impressed with it's &#34;clean-ability&#34;:  the &#34;teeth&#34; on the included rubber cleaning tool aren't long enough to fully push leftover garlic out of the mincer holes.  I've found other mincers easier to clean than this one.  I'll keep this around as a spare, but I'm ordering a different one from Amazon as soon as I finish writing this.",2.0
24,I was all set to love this garlic press.  I had used the smaller version for almost four years.  But within three months it broke.  The screen the garlic passes through came out rendering it useless.  I have tried to contact the manufacturer because I am sure it is still under warranty but they have not responded to my email and the pix I sent along with it.  So I am frustrated because the tool is in the garbage rather than in my utility drawer.,1.0
25,"The zyliss Susie garlic press is definitely sturdy, but unless you peel the garlic cloves before using the press, it takes a great deal of pressure to extract the garlic. I found this disappointing. The press cleans easily and the self storing tool is useful.",2.0
26,"Plus side, rices garlic quickly and well, minus side doesn't seem to press more than 85% of the clove, leave a lot of left-over. Plus side the cleaning tool is brilliant, makes what is usually a pain in the %$# cleaning job (with a toothpick) into a snap, minus side, I have already bent the handle some from just a few uses, I expect it will snap or bend into uselessness after a short life. I like it and wish it were a little stronger.",3.0
27,"I lost my Pampered Chef garlic press to the disposal (the disposal survived, but is noisy).  This doesn't have the solid feel that the Pampered Chef had.",3.0
28,The plate which presses against the garlic broke off the two arms just after one month of use.  Any chance of another  replacement?,2.0
29,"I had the smaller version of this press for years, and it worked fine and remained together all that time. Less than a year ago, I thought it would be nice to get the larger size. This press worked just like the small version, and I was happy with it until it broke in two. The pin that holds the two pieces together came out, and it is impossible to fix without drilling a hole all the way through the two pieces and inserting a different pin.<br />I hope I can locate my old press.......",2.0
30,Pressing garlic is easy and into a nice mince.<br /><br />Big con is the cleaning. They give you this cheap plastic tool and after a month or so the nubs that are supposed to push through the holes begin to bend. Since the tool is useless now...i have to scrape and work at getting the remaining garlic out of the basket.,3.0
31,"Very time consuming to get garlic out even with the little extra tool. It works ok for crushing to remove the papery husk, but for chopping it's a waste of money, unless you are someone who just doesn't want the smell of garlic on your hands.  It's faster and more efficient all-round to smash and chop with a good knife.",2.0
32,"This press works well if you don't mind the pealing finish getting into your food.  I purchased it again when this started to happen and the new one was significatly of lower quality and broke the 1st time I used it.  I will attach a picture.  Now I have purchased a Rosle 12782.  It is twice the price, but easier on my hands, fully stainless steel and easier to clean.&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/R-ouml-sle-12782-Garlic-Press/dp/B000063Y8F"">R&ouml;sle 12782 Garlic Press</a>",1.0
33,I bought this a few years ago and replaced it after one year. The finish wore off and the press was pretty small.,2.0
34,"The cleaner tool it comes with makes it even more difficult to clean the thing. I just use my fingers and rinse it under water. Other than that the tool works pretty good, but keep looking since you're spending the money I'm sure there's something better.",3.0
35,It functions great but the plastic accompaniment to help get the garlic unstuck quickly gets bent and useless.,3.0
36,The garlic press feature is great and you don't even have to peal the garlic. The blue cleaning piece however is not very robust and the bristles bend after just a few uses so it becomes more difficult to clean over time.,3.0
37,"Not as good as another one that I got as a gift.  This one is difficult to clean, whereas the other one has an extra part that swivels out to make cleaning a breeze.  Plus, on this one, the enamel has started to wear away, whereas the other one is stainless steel.<br /><br />I still use it as a backup, but not my favorite.",2.0
38,"comparing to other garlic presses we used in the past, this one needs strong muscles because it is very short",3.0
39,"This slim and modern looking Zyliss Susi garlic press is attractive, easy to store and does press the garlic. I find it somewhat difficult to remove pieces of garlic from the press and to wash the press. I'm hoping this is just part of a learning curve. I've only used it twice thus far and am hoping the process gets a little sleeker.",2.0
40,Broke after two months use.,2.0
41,"This item did NOT work well as the single Garlic press, requires too much strength to use,thought that having the cleaner attached would make it better the previous cleaner got misplaced eventually) I actually only need the cleaner for my old Zyliss,it works like a jewel and works better and more comfortably!",2.0
42,"I always check Amazon reviews before I buy a product and have found them generally accurate.  So why did I not listen to the several reviewers who said that arthritic or small handed people should avoid this press?  COOKS magazine got me, plus all the 5 star reviews. BUT PLEASE LISTEN UP if you are afflicted with either condition.  I could not get any garlic out of this press.  The OXO leaves residue but is much easier to squeeze. Should have stuck with what I had.Mickey Dachs",2.0
