,comments,stars
0,"I bought this to replace the 20-year-old Zyliss press I had -- it worked. Just, the person who gave it to me is a toxic mess; I didn't want a reminder of her.<br /><br />I don't know why I waited so long to replace it! This model is so much better!<br /><br />I love this press! I use it for ginger as well. Works perfectly, and I appreciate that Zyliss includes the hole cleaner!",5.0
1,"This is a very effective garlic press with a large capacity. It is in some ways similar to its predecessor, with the very useful plastic cleaning comb. One thing that is different is that the Susi 3 does not broadcast the garlic pieces that come out of the press like its predecessor did - I kind of liked the broadcast feature which was very useful for pizzas.",4.0
2,"Zyliss makes the best garlic press. It works well especially if you are feeling a little lazy and don't want to mince a bunch of garlic with a knife, and I really like how it comes with a tool to clean the holes. The only issue I have is that the design is not as ergonomic as the one I bought 25 years ago but finally broke. The new design is just not as comfortable for people with small hands.",4.0
3,"This is the updated version of the garlic press my dad bought 30+ years ago.  I absolutely love his press and I have not found one like it.  My dad bought me this as a gift and I was skeptical, it looks just like the others that I've tried.  But I was wrong, this is just as great as the original and I couldn't be more happy with it.  No more internal cringing when I need to use fresh garlic!",5.0
4,"Loved this. I have always resisted this purchase, because I have good knife skills. This provides a much more pungent garlic flavor, annd when in a rush, I can use it instead of chopping. It is also very easy to clean with the attached cleaning tool.<br /><br />Highly recommended. rrh",5.0
5,"I was looking for a new garlic press after our old, very old, Zyliss press had been thoroughly worn out. We bought a few other presses from local stores - none of which worked. Finally, found this one - it is FANTASTIC! The press fits tightly, leaving barely anything in the bowl. Very easy, efficient. The scraper/cleaning tool is a great idea, too. I think this is very well constructed, have been using it now for a month. I believe it will serve us as well as our previous Zyliss press. For garlic lovers!",5.0
6,"I love fresh garlic but I don't love the preparation that goes into using it, especially when recipes call for chopped or minced garlic. I also have arthritis in my hands and I need something that will work without excessive pressure.<br /><br />This garlic press will really take unpeeled cloves and produce pure, fresh garlic ready to go. Another reviewer said you needed to clean it frequently if you didn't peel the garlic, but I've done five or six large unpeeled cloves without having to clean till the end.<br /><br />It also produces minced/mashed ginger, although it will press out a lot of juice separately. I add both the juice and the ginger pulp to my recipes. I do a lot of Asian cooking with recipes that call for both fresh ginger and garlic, so this is a real godsend.<br /><br />Cleaning is very easy - scrape out the skins and then the plastic tool, along with running water, will take care of clearing the holes.<br /><br />Last, it does take some effort to close the press, but it's engineered very well so I can wrap both my hands around it instead of just using my fingers.<br /><br />I highly, highly recommend this.",5.0
7,"I really love this press. We love garlic and eat it almost every day; however, I don't like mincing the garlic. This press works great! You can mince garlic without even peeling first. I had tried a garlic press years ago and hated it. It never pressed out all the garlic, so you either wasted a lot or you had to finish mincing by hand. This one squeezes ALL the garlic out. It takes a little bit of strength in your hands to squeeze, so if you have arthritis or some other strength issue in your hands, you might find it difficult. It's easy to clean an comes with a little rubber brush with teeth that exactly fit into the holes on the bottom of the press. I used this brush immediately after mincing to push out the bits of garlic in the holes while rinsing under running water. Doing this right away, before the garlic has a chance to dry, makes cleaning very easy. I use this press almost every day and would recommend it...in fact, I HAVE recommended it to all my friends and family.",5.0
8,"High quality garlic press.  It does fit in more than one clove.  Although they sometimes slip out as you try to position the press in the hole.  Very easy to crush, with little return pressure to the hand.  So mashing a lot of garlic is going to leave your hands sore.  My only issue was the cleaning wand, brush, or what ever you call it.  The part in the handle that can be removed and pushed through the hole to help clean garlic scraps out of the press.  The little plastic spike must be completely straight for all on them to make it in their selected hole.  One by one the can become bent, and once that happens its like spinning plates getting them to all line up at once.  Luckily the end of the wand has three spikes at the end and it is less likely you will have problems with those not lining up.  It just means you can only do at most 3 holes at a time, but I found that saved more time than baby stepping the all at once side of the cleaning wand.  I have owned garlic presses that were easier to clean but the trade off they had parts that could get lost and make it useless.  The press itself is one unit no part able to come off. I wish the metal rod in the hinge seemed to be stronger, but as of right now the Garlic Press is damage free apart from the cleaning tool.  I don't regret this purchase but there are defiantly things I would like to change about it.  This is a good mid range quality product.  If your looking for a above decent quality item, but don't want to drop the big bucks for one of the top of the line presses than this is a good place to start.",4.0
9,"Been using for 6 years or so. Mine did not include a cleaning tool.<br /><br />Pros:<br />1. good tolerances around the plunger- no garlic going around the sides<br />2. easier to squeeze - good handle design<br />3. fits flatter, and smaller in the tiny drawer in my kitchen.<br />4. lightweight<br /><br />Cons:<br />1. aluminum scratches easily (Its not the finish of my car- I don't care so much)<br />2. It does not hold a ton of garlic - a few small bits or a large clove. - but that makes it easier to squish.<br /><br />Hints:<br />1. If you DO NOT try to clean all the garlic bits off between presses then it almost all balls up in the bottom and can be easily removed with your finger.<br />2. If you clean it right away - like within 120 seconds of last press- under hot water all the little micro bits of garlic come out.  I run mine under hot tap water forcing the garlic bits backwards into the press- Garlic by nature has the consistency of superglue if left to sit, on anything. No issues, No toothpick, No toothbrush, No tiny blue things to loose, No craziness, no clogging.<br />3. Remove garlic / onion smell on your hands by rubbing warm soapy hands against something stainless steel - a serving spoon, the side of the sink, whatever. It actually works.<br />4. Cut the hard base off the garlic clove- the skin you can leave on.<br /><br />Note: I wash mine in the dishwasher open on the top rack and have never had an issue with the paint / finish coming off- I'm a pretty heavy user of it (2x daily for 6 years)<br /><br />This has been my only press I have used for the past 6 years- in the year prior to it's adoption I went through 4 others. I'm intrigued by the new model.<br /><br />UPDATE--- I just ordered 2 more- they both had blue cleaning things, they hide in the handle and don't come out easily. - FYI in Sept of 2013 I got ones with cleaning things.",5.0
10,"Once upon a time I used a garlic press that seemed to work and it never occurred to me that there was much difference between them, or even that there were different presses out there.  Then I acquired a different Zyliss garlic press for about six years, and I really liked it, until one day it snapped as I tried to press some garlic with the skin still on.  (Some manufacturers (including Zyliss) say you can do this with their garlic presses, but now, I think I'll just pass on that. But that was a great garlic press.)<br /><br />I then purchased a Pyrex garlic press (no, it wasn't made from glass), thinking it looked well made, and how bad could it be?  But I was very surprised to discover it simply did not work--the handles would meet before much of the garlic had been pressed through the holes.  I really couldn't understand why anyone would make such a thing, but there it is.<br /><br />So I then decided I'd stop fooling around and get myself another decent garlic press, and went through some obsessive review-reading, and finally settled on this one.  It works, and it works well.  Put in the garlic, press, and virtually all of the garlic comes right out through the holes.<br /><br />A few issues for those who are looking for the perfect garlic press:<br /><br />This is made of aluminum.  If you're concerned about Alzheimer's, look for a steel press.  Also, being aluminum, it may not be quite as durable as steel, although it seems plenty tough.  (Yes, I've read about the coating coming off.  We'll see. If that happens I may try to scrape off the rest of the coating.)<br /><br />It doesn't take much effort.  But if you really have difficulty squeezing--arthritis, perhaps--there may be one out there that takes a wee bit less effort.<br /><br />I really don't get the ""hard to clean"" business. Really, I don't.  I've been using garlic presses for many years, almost daily.  When you're done, you rinse it under the tap and stick your finger in there, scrape a little, and it's clean. If it isn't, do it a little more. This one is no different from any other I've ever used. If you need a garlic press with its own cleaner, look elsewhere--and then be sure to keep an eye on it and carefully store it with the press, day after day, year after year, so you don't have to clean with your finger. (My previous Zyliss came with a plastic cleaning tool.  I misplaced it within a week or two and never missed it.) I would never choose a garlic press by whether it comes with its own cleaner, but it takes all kinds.<br /><br />This model holds one large or two medium cloves, not three or four, so if you want to press several big cloves at once, I believe Zyliss makes a larger one you might prefer.<br /><br />UPDATE:<br /><br />One year later, the coating has come off the perforated inner surface of the press.  Otherwise, no problems.  Works great!  Even though I once broke a garlic press by squeezing cloves with the skin on, I've been doing that with this one.  Works just fine.",5.0
11,"I used to always mince my garlic by hand, because I love fresh garlic in dishes and didn't really know that garlic presses existed. One day I was watching a cooking show and saw the host press several cloves of garlic into a pan in about 10 seconds. I was in awe, and knew I had to get a garlic press in my hands ASAP.<br /><br />I went to the store and saw a $15 one, and a $3 one. They looked pretty similar, so I just got the cheaper one. I got home and tried it, and it was nearly useless...it just kind of mashed/juiced the garlic, and only a minority of the clove made it through the holes...the rest oozed back up along the sides of the press. Yuck! I was very disappointed.<br /><br />So, I did some research and discovered that you really get what you pay for when it comes to garlic presses. I settled on this guy, and am very happy I did. It's very easy to press a couple of cloves--minimal hand straining, and 100% of the clove makes it through the press. Then, you just scoop out the peel and rinse it. Very, very easy, and very comfortable in my hand. The best part is that my hands don't smell like garlic afterward!",5.0
12,"I like this press. It works well. It definitely requires some hand strength, which I think could be an issue for some people. The crushed texture of the garlic is perfect for my uses. I was super excited that I wouldn't have to deal with peeling the garlic and getting my fingers all garlicky. Yes, but then you spend at least as long and get at least as covered with garlickyness while you pick the squished peel out of the garlic press. You need to clean this immediately after use. Don't let the garlic and juice stick to it, or you will increase the cleaning time quite a bit. Pick the peels out right away and rinse it under hot water in the sink. It does not hold odors, which is great. The plastic peel pick/hole cleaning thing that comes with it is helpful, but if not handled carefully the tines will break off. I'm torn. I like the results and the quickness with which I can get some crushed garlic with this press, but I dread the cleaning process.",4.0
13,"Crushes garlic well & with little effort.  However, one is supposed to be able to put unpeeled garlic in it - when I have done that it is almost impossible to squeeze.",4.0
14,"It really crushes  The whole clove properly unlike other cheaper knock offs  and I love the little cleaning brush ,  can also use it to swipe off the garlic that already came out of the press .  I also use it for chili pepper in small quantities",5.0
15,"This was my first garlic press that I've bought. I absolutely love the scraper that came with it. It's so you can get what doesnt get pressed out instead of using a knife as I've seen others use. Its very easy to use too, not too large or small for my hands.",5.0
16,"I just received. Very pleasantly surprised!<br />We've had a Susi garlic press for at least 10 years. We use it almost daily. It has held up fine.<br />Now my daughters work on an organic farm that grows garlic. The cloves are huge- almost comparable to elephant garlic. I have felt we were abusing it by how full we stuffed it- my husband had to squeeze it- but these are well made and it has not failed.<br />I decided to get this since it was stated to have a larger hopper. It does! And the hopper is more square which is better to fit various shaped cloves.<br />Never underestimate the usefulness of the little blue cleaning tool! It is now improved- larger and fits more securely in the handle.<br />My daughters were so impressed I will be purchasing another for them.<br />After more than 10 years of flawless service and then the continued quality of this item- I'm certain this is the best press I've come across- quality materials, EASE of cleaning and ease of use.",5.0
17,"I have never been a fan of garlic presses; most take so long to properly clean, it was faster for me to chop garlic on a cutting board. But given the vast quantities of garlic my husband and I consume, I decided it was worth finding a quality press, and I chose this one based on the reviews and the price.<br /><br />Ho. Lee. Crap. The cost to awesomeness ratio on the Zyliss press is astronomical. I frickin' love this thing! Now, I don't even have to spend time peeling garlic. In fact, the press is much easier to clean if I leave the cloves unpeeled. I use a paring knife to slice the bits of chopped garlic off the press and pry the peels out. I was really impressed by how little is wasted. I get slightly less out of each clove than I would if I chopped by hand, but it's quick and easy to add another clove. I'm going to be giving these away for Christmas this year.",5.0
18,"I've used a good Oxo press for 7 years and it recently broke; I tried a few others that sucked and then splurged for the Zyliss. I've started adding fresh garlic to more dishes just because I have this press. Items that used to get a few cloves are now getting almost a full bulb just because it's so simple.<br /><br />It's true, you never have to peel the garlic and it's not even beneficial if you do. The press gets every bit of the good stuff out of the husk and the skin easily lifts out after each press. There is no waste pressed up the sides or left in the holes; the skin doesn't flop out when you open nor does it get stuck and have to be dug out. The little tool takes a couple tries to get used to but then cleans everything out easily and efficiently. It does take a bit more force to fully press the cloves than other models but that is likely due to pressing through the skin. My wife has trouble with it but she hasn't tested it with peeled cloves.",5.0
19,"My parents have a similar garlic press, different brand purchased from a local store. They had it for years and I always admired how these types of garlic presses work. I went on my hunt at local stores and no one carried this type of garlic press. The closest one I could find was from a name brand which starts with &#34;Fab...&#34;. It seemed like it could do the same. Had a larger capacity than my parents. It felt sturdy. Tried it for the first time. It failed miserably. It was only used once and after inspecting it to see if it was defective it was literally thrown away. Just poor design.<br /><br />I should've gone here first. After extensive research and reading reviews I decided to purchase the Zyliss Susi 3 Garlic Press. I love the hinge system it uses. I was extremely satisfied on the first use. Every piece of garlic went through and it literally left the skin within the holder to remove afterwards. It can fit 2-3 large garlic cloves at one time. I love this press and use it on a regular basis. It washes well and so far its been durable.",5.0
20,"This is a great product.  I'm on my second one.  First one went through the dishwasher too many times and lost it's coating.  Without the coating, raw garlic reacts with the product material turning the garlic and juice black.  Lesson learned for me.  Don't put it through the dishwasher.  Nothing does a better or faster job of quickly making macerated garlic.  No need to peel.  I recommend washing it immediately after using.  Once the garlic starts to dry, it becomes cement like- very difficult to get out.",5.0
21,Zyliss presses are great.  They convert people who think garlic pressed are a messy useless waste of time.... like me and my mother in law.,5.0
22,"If you are considering buying a garlic press, get this one.  I have owned at least 3 different garlic presses over the years, the very best of which I would have rated no higher than a 2.  The Zyliss press is made of a very rigid but lightweight body, with a tight fitting anvil which has little points to press all the flesh out of the garlic.  The net result is beautifully fine garlic puree, with almost no fiber left in the press.  The finish of the press easily releases food for easy cleaning, and the blue nylon tool that snaps inside of the handle gets those few pesky fibers out when it's time to clean up.<br /><br />It is a rare product that deserves an unqualified endorsement, but this is one of them.",5.0
23,"Having gone through several disappointing garlic presses over the years, I had given up and resorted to chopping garlic by hand.  However, with 3 kids I no longer had the luxury of time to spend chopping garlic so started searching for a garlic press.  Found this on amazon and after reading through reviews of this vs. the OXO and some of the other more popular ones, decided on this one based on price.  Love this garlic press, my mother-in-law (who had also written off garlic presses as well) used this when she was visiting last month and asked me to order one for her as well.  You can put garlic cloves in this without peeling them -- does not leave a lot of waste, just the peel is left.  No longer chopping garlic by hand, a great time saver!",5.0
24,"This was recommended to me at a cooking class.  It doesn't just smash the garlic, it really presses it through the press and you get a lot of juicy garlic.",5.0
25,"This garlic press is fantastic. It quickly minces garlic, you don't have to peel the garlic first, and it's dishwasher safe. Two regular-sized cloves or one large clove fit in the barrel. I use a toothpick to clean it; my version doesn't have the cleaning feature. Yes, the outer coating has worn off a little, but it is still a very good press. It is a little difficult to press with multiple cloves; those with arthritis would be most comfortable pressing one smaller clove at a time. Still as quick as spooning out a teaspoon from a jar, and much tastier!",5.0
26,"I have always heard about garlic crushers being handy but never tried them till i seen this one on amazon. It feels rigid, doesn't hurt the hands to use, and it can handle multiple cloves of garlic at once with no peeling done before hand. The garlic comes out very well crushed and ready for any food. The included tool works great at removing the solids left behind then a simple rinse in the sink seems to be more then enough cleaning. My family tends to love garlic in their foods so its used almost every day its been a purchase i haven't regretted but wished i had made earlier.",5.0
27,"Excellent for garlic and ginger. It is not stainless steel- I would have given if 5 stars if it were. Simple to use, the press does the pressing since it has a piece that fits over the garlic, not just you squeezing it like Oxo cheaper ones do. I was going to get the expensive one Cooks Country recommended, which looks great- but is $40 more. This used to be there best buy so I decided to try it. Very glad I did. If it gets rusty- well, for under $10 I'll order another one in a few years.",4.0
28,"Sturdy metal garlic press does a nice job; takes a little effort to squeeze, but the garlic comes out as a very fine mince which is way better than what I was doing (grating garlic on a Microplane, which can scrape your fingertips if you're not careful).  Large hopper for even the largest cloves.  The one reason I docked it one star is the plastic cleaning tool is essentially useless.  The teeth on mine never aligned with the holes; every time I used it to try and clean out the hopper, if a tooth was only slightly misaligned it would bend.  After fiddling with it and trying hopelessly to get the teeth straight again, I'm ready to toss it in the trash.  An old toothbrush works much better.",4.0
29,"If you have the hand strength this is an awesome garlic press, I do, my wife doesn't. I haven't tried to press with skin on yet, I feel it would handle smaller cloves with the skin on, I'm not sure about the bigger ones with what feels like a tree bark around them. The little cleaner thingy is more useful than I expected.",5.0
30,Bought this for my son and he has told me two times that he loves it. He reports that it fits lots of garlic and cleans easily.,5.0
31,"Really easy to use, relatively easy to clean. Brush not as helpful as I thought it would be, but moreso meaning I think it'd unnecessary--ie it's not that hard to clean in the first place. Would clean right after use, otherwise holes would be hard to get clear. We've pressed up to 4-5 cloves without cleaning out the skins/debris; but more than that and we've had to scrape it all out so that the new cloves would actually get pressed.",5.0
