,counts,words
693,2349,garlic
3637,1600,press
2752,817,br
3007,675,great
741,669,easy
3036,655,use
1072,635,peeler
2399,554,clean
3655,534,works
1326,518,one
3579,500,well
1172,467,product
1088,369,love
3645,316,like
303,308,quality
126,274,would
2856,271,nice
2613,270,used
2238,268,really
2190,242,good
617,237,much
960,236,time
3758,216,made
2366,193,also
1483,190,get
3309,190,clove
809,190,peel
1292,183,cloves
537,182,best
132,168,recommend
2573,166,presses
1075,161,box
1566,160,comes
763,156,gift
2394,152,sturdy
2386,148,alpha
2462,148,set
1321,146,first
324,144,little
79,139,ever
411,138,ginger
1714,134,using
578,131,kitchen
480,129,make
3019,127,makes
3022,123,grillers
3730,123,stainless
979,123,skin
3113,122,peeling
3446,121,bought
2506,120,last
3278,119,steel
3743,119,buy
1824,118,lot
249,116,better
1311,112,thing
2205,109,easily
1426,108,price
2600,108,34
379,106,tool
150,106,excellent
3457,103,job
1753,103,tube
690,102,hand
66,102,even
162,100,work
344,100,cleaning
2892,99,fresh
3061,99,high
254,96,easier
2269,95,dishwasher
115,93,highly
2216,92,heavy
2578,91,solid
2264,91,put
2226,91,hard
83,90,never
466,90,came
1212,89,years
38,87,every
860,86,happy
2143,84,tried
1759,83,knife
194,83,amazing
3481,82,packaging
858,82,way
314,82,got
3174,80,hands
778,79,old
217,79,purchase
2705,78,minced
2686,78,bit
579,78,received
3303,77,need
1106,77,handles
1146,75,awesome
71,75,cooking
1064,75,peeled
2790,72,long
169,72,could
777,70,right
1954,70,far
3147,69,looks
1008,69,cook
3635,69,know
635,69,worked
567,68,packaged
2368,68,without
1976,67,small
460,67,definitely
3085,66,pieces
2055,66,two
2782,66,impressed
1694,66,seems
180,65,want
2094,65,pressing
3152,65,perfect
1832,64,enough
1558,64,many
1423,64,sure
173,63,give
2976,63,squeeze
3245,63,owned
577,62,roller
673,62,silicone
2437,61,feels
3769,61,piece
1218,60,still
3264,59,perfectly
1319,58,think
3698,58,getting
