,counts,words
298,609,garlic
1521,301,press
314,227,easy
1290,202,use
931,147,good
561,135,one
1021,126,clean
807,108,time
1369,107,quality
1158,100,like
1278,94,great
1497,91,well
457,86,love
1531,81,works
492,76,product
1185,76,br
260,73,much
1120,67,used
777,59,lot
958,59,really
160,54,tool
53,52,recommend
291,52,make
568,47,little
51,47,would
247,46,kitchen
1573,46,made
230,44,best
1383,44,steel
1563,43,stainless
1219,42,nice
1142,42,cut
1392,42,need
1442,41,bought
25,40,cooking
1003,39,also
296,39,hand
944,39,heavy
1134,37,convenient
1314,35,pieces
843,34,small
638,34,get
1282,34,34
1016,31,sturdy
939,29,easily
315,29,save
46,28,highly
848,28,design
1340,28,perfect
1447,27,job
1421,27,handle
1285,27,makes
107,26,better
749,25,knife
9,25,every
967,24,put
411,24,cook
29,24,ever
1315,24,high
609,24,price
1100,23,solid
858,23,buy
1571,23,squeeze
1604,23,using
1140,23,useful
557,22,first
1347,22,material
795,22,holes
193,22,metal
1338,22,looks
110,21,easier
360,21,happy
60,20,excellent
437,20,chopping
381,20,smell
892,19,pressing
1395,19,clove
80,19,thing
1081,19,simple
66,18,work
739,18,always
546,18,cloves
1039,17,feels
1096,17,presses
175,17,ginger
23,17,even
763,17,chop
1580,17,piece
556,17,think
1097,16,presser
836,16,got
1032,16,pretty
569,16,plastic
1349,16,hands
254,15,strong
979,15,feel
1028,15,fine
31,15,never
723,15,seems
1170,14,back
951,14,hard
465,14,handles
1364,14,could
336,14,peel
667,14,duty
1371,14,durable
875,14,two
341,14,super
79,13,end
511,13,still
851,13,crush
915,13,help
194,13,definitely
1165,13,minced
562,13,long
1373,13,perfectly
711,13,without
359,13,way
1544,13,pressure
325,13,old
571,13,2
1461,13,waste
424,13,item
183,13,recommended
909,13,tried
1071,13,last
275,13,say
1157,12,bit
1231,12,came
1478,12,almost
742,12,images
396,12,push
76,12,want
636,12,going
1,12,saves
924,12,actually
1348,12,cutting
779,12,enough
1430,12,stuff
885,12,dishwasher
7,12,worth
1512,11,day
1029,11,find
666,11,comes
946,11,another
933,11,food
1232,11,fresh
248,11,received
367,11,inside
813,11,wife
834,11,far
600,11,take
1527,11,helpful
1380,11,exactly
324,11,right
1575,11,smooth
489,11,1
947,11,weight
962,10,since
266,10,life
983,10,done
408,10,cheap
1001,10,built
394,10,daily
1154,10,big
1574,10,wish
1127,10,cleaning
239,10,mincing
1367,10,owned
1239,10,go
729,10,around
407,9,finally
28,9,new
319,9,apart
888,9,broke
867,9,family
1318,9,something
305,9,left
1055,9,see
258,9,quickly
654,9,3
401,9,skin
1126,9,arrived
4,9,hate
444,9,peeled
784,9,trying
1289,9,tools
1104,9,pressed
942,9,found
1114,9,anymore
567,9,size
1386,9,loves
482,8,garlics
1332,8,light
1327,8,peeling
1085,8,likes
1498,8,thought
1523,8,crushes
495,8,overall
683,8,sauce
802,8,5
389,8,fell
1552,8,cleans
1224,8,sides
93,8,purchase
150,8,wash
83,8,amazing
1264,8,video
103,8,fit
320,8,gift
661,8,come
77,8,times
170,8,friend
1078,8,whole
606,8,sure
101,8,satisfied
1453,7,rust
1084,7,simply
475,7,effort
1378,7,stars
272,7,worked
243,7,however
1390,7,comfortable
262,7,expected
231,7,said
901,7,purchased
157,7,needed
1200,7,fast
1107,7,grip
624,7,mince
685,7,squeezes
695,7,everyday
697,7,different
570,7,anyone
1246,7,helps
1520,7,know
1513,7,add
761,7,favorite
945,7,everyone
825,7,dish
121,7,side
527,7,half
1572,7,eat
992,7,part
114,7,break
544,7,looking
506,7,years
1476,6,helper
316,6,gave
669,6,pot
423,6,leave
1504,6,less
1135,6,spend
333,6,everything
362,6,head
412,6,trouble
703,6,week
1403,6,class
732,6,mom
1470,6,value
663,6,many
1418,6,hope
1206,6,us
668,6,color
1351,6,handy
1258,6,try
995,6,kind
215,6,nicely
1324,6,instead
999,6,juice
485,6,awesome
646,6,husband
208,6,amazon
26,6,fingers
1493,6,ikea
223,6,thanks
988,6,wonderful
455,6,usually
1518,6,crushed
257,6,tiny
1312,6,bent
1488,6,gets
637,6,black
190,6,mashed
71,6,give
515,5,hot
503,5,basket
809,5,important
1138,5,shape
994,5,believe
895,5,beautiful
842,5,large
1168,5,often
890,5,glad
1162,5,minces
934,5,gadget
343,5,months
1272,5,let
358,5,stuck
938,5,bigger
1198,5,impressed
786,5,longer
1204,5,line
750,5,seconds
991,5,garlicï¼
1226,5,ago
737,5,chamber
449,5,wait
448,5,peeler
1398,5,able
1397,5,dishes
613,5,especially
952,5,itâ
555,5,star
0,5,saver
62,5,hold
1570,5,construction
95,5,effective
1551,5,getting
256,5,three
1590,5,compared
1465,5,unpeeled
1579,5,problem
86,5,mess
139,5,days
54,5,type
1581,5,minutes
233,5,away
184,5,materials
1086,4,expensive
55,4,tell
1530,4,become
1010,4,nothing
1288,4,oval
632,4,title
313,4,board
1404,4,url
633,4,behind
640,4,ssl
15,4,force
1407,4,looked
59,4,hurt
1275,4,others
1269,4,spacing
156,4,top
1261,4,smaller
155,4,service
1136,4,things
1026,4,disappointed
595,4,efficient
1526,4,necessary
426,4,quick
1376,4,low
479,4,making
990,4,store
226,4,decided
468,4,today
466,4,https
24,4,saved
1346,4,crash
523,4,sooner
530,4,name
459,4,extra
1335,4,alloy
1090,4,appears
1328,4,fits
427,4,div
251,4,com
1489,4,difficult
446,4,water
206,4,10
1110,4,ready
1486,4,parts
18,4,chef
566,4,open
1320,4,practical
432,4,says
700,4,bowl
1308,4,thin
696,4,worry
63,4,must
1603,4,friends
1035,4,bend
794,4,taste
137,4,wanted
113,4,safe
293,4,several
304,4,mother
1191,4,block
728,4,real
1064,4,meal
744,4,slice
716,4,money
773,4,lol
1428,4,smash
142,4,uses
1149,4,input
772,4,removing
898,4,pushes
1155,4,couple
708,4,totally
376,4,na
109,4,hidden
1426,4,ones
1210,4,similar
147,4,already
345,4,dinner
874,3,takes
1508,3,advertised
564,3,impossible
549,3,quite
560,3,flipping
559,3,saving
1559,3,brands
40,3,changed
797,3,together
701,3,ï¼
213,3,unfortunately
800,3,rubber
849,3,residue
1177,3,seller
1568,3,brand
1502,3,stores
494,3,may
501,3,maybe
822,3,month
504,3,cute
855,3,loose
512,3,thank
1187,3,anything
1188,3,hinge
217,3,twice
96,3,keeps
759,3,ok
537,3,crushing
116,3,pegs
129,3,washed
1553,3,shipping
1522,3,immediately
477,3,reviews
75,3,veggies
722,3,thinking
928,3,might
145,3,chopped
1123,3,yesterday
72,3,gadgets
1537,3,proper
681,3,weeks
56,3,separated
1137,3,ergonomic
689,3,squeezed
1253,3,entire
70,3,recipes
904,3,rather
704,3,finish
903,3,needs
172,3,mini
143,3,onto
573,3,lingering
1225,3,structure
574,3,mostly
880,3,flat
950,3,energy
187,3,though
1251,3,putting
753,3,broken
134,3,free
1299,3,removable
177,3,seen
611,3,complaints
1297,3,sort
615,3,later
887,3,stick
1547,3,paste
623,3,recipe
731,3,gonna
235,3,finger
846,3,past
1365,3,keep
1092,3,firm
409,3,choice
16,3,tired
415,3,cool
1087,3,described
270,3,personally
1394,3,screw
1480,3,surface
1482,3,lightweight
1389,3,gently
1387,3,lover
1005,3,play
1000,3,donâ
1089,3,due
451,3,buck
454,3,bangs
1018,3,nubs
1019,3,sometimes
460,3,prefer
391,3,faster
1061,3,pictures
2,3,sleek
326,3,deal
329,3,hassle
331,3,bottom
1066,3,recently
1067,3,silicone
1070,3,feeling
356,3,flying
1040,3,preparing
366,3,kebley
1076,3,became
10,3,affect
387,3,felt
1080,3,point
997,3,galic
398,3,basically
242,3,packaged
1345,2,dad
718,2,touch
891,2,none
1038,2,cheaper
1144,2,hated
1095,2,goodï¼
292,2,vegetable
719,2,flavor
1240,2,issues
148,2,grade
1431,2,grab
896,2,compare
712,2,solve
1245,2,squeezing
1033,2,8
1422,2,means
726,2,4
727,2,heavier
364,2,purchasing
1436,2,tend
132,2,washes
350,2,pair
1223,2,replace
1439,2,piston
1437,2,genius
1227,2,cooker
1230,2,cooked
232,2,lots
1072,2,reverse
488,2,poking
357,2,avail
81,2,feature
1464,2,finished
78,2,absolute
1248,2,sent
69,2,root
348,2,match
671,2,pop
285,2,dumplings
64,2,room
1133,2,edge
395,2,teeth
1132,2,person
1267,2,body
1130,2,lower
1030,2,blender
161,2,serve
162,2,took
496,2,crashed
1538,2,home
662,2,img
497,2,designed
679,2,shopping
972,2,running
14,2,enjoy
910,2,coming
1600,2,stay
1023,2,particularly
687,2,cast
906,2,breaking
1255,2,magic
1079,2,liked
692,2,someone
980,2,unusable
12,2,convenience
152,2,delicious
384,2,picture
287,2,id
472,2,envelope
1221,2,problems
754,2,assemble
165,2,elegant
327,2,people
1183,2,step
856,2,excess
97,2,operate
308,2,yes
112,2,slate
987,2,flimsy
1192,2,seeing
821,2,chinese
986,2,paint
806,2,fastï¼
805,2,separate
117,2,meat
1562,2,additional
801,2,cleanup
1062,2,probably
823,2,mp4
755,2,leftover
108,2,differently
105,2,fix
841,2,washing
839,2,ramen
838,2,difference
837,2,awful
835,2,fan
1363,2,g
824,2,zinc
832,2,returned
850,2,section
311,2,adding
310,2,previous
98,2,order
1456,2,otherwise
330,2,pain
1194,2,within
798,2,lifetime
1047,2,gotten
1445,2,opening
1156,2,game
774,2,meals
1444,2,rinses
1049,2,wrote
340,2,post
1211,2,called
796,2,general
1212,2,ordered
1215,2,lemon
1151,2,hates
346,2,slightly
347,2,extrusions
1150,2,excited
87,2,arthritis
1159,2,semi
126,2,forgot
1160,2,shaped
1203,2,properly
303,2,contact
1201,2,opens
123,2,inserts
1446,2,efficiency
787,2,pull
865,2,smushed
1458,2,addition
1197,2,smells
863,2,amount
793,2,gone
1366,2,powerful
1561,2,brush
920,2,dough
1583,2,doesnâ
658,2,notice
540,2,intended
584,2,require
1483,2,bucks
1391,2,comfortably
45,2,slices
1310,2,meet
1273,2,sink
47,2,brought
1307,2,oh
1306,2,drawer
463,2,working
963,2,issue
1393,2,apparently
214,2,bar
539,2,happen
