,counts,words
836,2489,garlic
4304,1861,press
3256,1051,br
889,923,easy
2864,847,clean
1586,694,one
3581,626,use
3044,424,presses
4245,420,well
649,314,best
3542,309,great
4313,262,like
156,261,would
3101,256,used
1538,252,cloves
1129,249,time
1779,239,get
1950,238,good
1279,233,love
3342,233,kuhn
740,230,much
1439,225,years
4325,218,works
1391,212,product
4444,210,made
3945,206,rikon
3938,204,clove
33,197,worth
91,196,ever
693,195,kitchen
4084,184,bought
2664,181,really
79,180,even
2970,174,last
410,172,cleaning
379,169,little
3758,166,hands
3150,162,also
833,157,hand
4429,155,buy
3551,154,34
2626,154,easily
3142,148,using
4417,148,stainless
2361,147,design
1125,144,lot
3862,141,quality
1343,134,reviews
3901,134,steel
3185,134,bit
301,132,better
3559,127,makes
2481,125,pressing
449,123,tool
4019,121,handle
1861,120,many
2644,119,heavy
1063,117,zyliss
4441,116,squeeze
2232,116,way
307,115,easier
277,115,first
4095,114,job
963,113,peel
1700,113,price
925,112,old
2346,110,small
2214,110,holes
1566,109,thing
43,108,every
2342,105,large
1443,104,still
164,102,recommend
2007,102,money
3931,101,need
1305,101,handles
100,100,never
1184,97,cook
2464,95,broke
3854,95,owned
3004,93,expensive
2653,92,hard
142,92,highly
2855,92,sturdy
1575,90,think
420,90,another
1148,89,skin
2441,89,two
820,86,several
2107,85,knife
3427,85,dishwasher
3058,85,pressed
1871,83,comes
3835,82,could
199,82,work
2423,82,put
2170,82,sides
369,81,got
809,80,make
1095,80,test
1611,79,2
2532,78,tried
3048,77,solid
2641,77,found
2239,76,5
3422,76,illustrated
2873,76,hopper
3642,76,pieces
3377,76,nice
2320,75,far
2776,74,part
510,74,recommended
3426,73,go
2670,72,since
4260,72,less
2816,72,built
1619,70,excellent
264,69,purchase
3643,69,high
3838,69,times
3299,69,long
2881,69,find
1998,68,without
4093,68,however
1512,68,year
3216,67,back
4384,67,cleans
487,66,ginger
4459,66,piece
860,66,left
1667,65,say
1714,65,america
1029,64,happy
2044,64,around
1827,64,review
336,64,side
1466,64,3
2502,63,purchased
2345,61,epicurean
2030,61,seems
984,61,months
4219,60,difficult
3726,59,perfect
600,59,amazon
3720,59,looks
546,59,definitely
3209,58,minced
1383,58,1
2892,57,pretty
1202,57,item
1191,56,cooks
2933,56,see
88,56,new
4247,56,thought
2593,55,actually
525,55,though
1334,55,effort
431,54,top
1403,54,designed
1745,54,cheap
2395,54,strong
2903,54,feels
976,54,super
3535,54,others
924,53,right
82,53,cooking
2631,53,always
4191,53,almost
1607,52,plastic
1529,52,looking
2375,52,crush
2036,51,4
223,51,want
3175,51,big
572,50,finally
4303,50,know
4217,50,gets
2182,50,enough
882,49,ease
552,49,came
4164,49,unpeeled
640,49,decided
1695,49,sure
4458,48,problem
541,48,metal
4278,47,day
1547,47,quite
2174,46,stars
2722,46,feel
1596,46,size
1872,46,duty
3639,45,plate
675,45,mincing
3295,45,extremely
912,45,gift
2880,45,fine
2916,45,oxo
4436,45,construction
653,44,said
215,44,give
70,44,chef
1746,44,mince
1424,44,basket
909,43,apart
187,43,hold
2433,42,takes
1506,41,crushing
3880,41,perfectly
1767,41,going
2825,41,breeze
1594,41,open
1395,40,may
3474,40,try
4153,40,waste
2059,40,disappointed
1111,40,fell
1251,40,water
3680,40,peeling
105,39,china
3872,39,durable
3393,39,ago
4467,39,penny
3822,39,completely
238,38,amazing
3413,38,rinse
318,38,break
4211,38,parts
4371,38,pressure
658,37,away
1248,37,peeled
3409,37,fresh
294,37,fit
3646,37,something
2611,36,food
2989,36,simple
2357,36,past
499,36,strength
1478,36,half
1686,36,take
3176,36,couple
4373,36,although
2953,35,probably
486,35,mine
50,35,pinch
84,35,fingers
1275,35,usually
759,35,worked
1958,34,different
191,34,must
4449,34,wish
2902,34,cheaper
1608,34,anyone
3687,34,fits
4438,34,grate
2224,34,lifetime
1350,33,making
1127,33,together
3131,33,spend
938,33,multiple
1673,33,saw
874,33,previous
4003,33,based
389,33,wanted
4383,33,getting
3368,33,scrape
427,33,rated
3046,32,look
2469,32,glad
748,32,life
2047,32,read
2408,32,amount
3925,32,comfortable
4503,31,star
1961,31,pay
3307,31,opens
229,31,end
952,31,everything
2072,31,chamber
2750,31,least
3983,31,fact
1856,31,come
151,30,unit
3322,30,link
2913,30,remove
2744,30,leverage
3199,30,minces
2193,30,buying
3964,30,device
1973,30,finish
4306,29,crushes
657,29,lots
4297,29,crushed
2266,29,wife
2515,29,rather
928,29,people
3037,29,pricey
3110,28,uses
1615,28,bits
4432,28,brand
4029,28,ones
4341,28,recommendation
1206,28,quick
2116,28,broken
2074,28,either
3264,28,hinge
615,28,nicely
1221,28,cost
945,28,bottom
334,28,went
593,27,10
2539,27,replace
1718,27,especially
619,27,bad
3533,27,let
1281,27,extra
1918,27,careful
72,27,second
3669,27,instead
3268,27,replacement
1832,27,behind
1024,27,stuck
3148,27,cut
1805,26,husband
1838,26,reading
2983,26,whole
439,26,ordered
3012,26,due
2041,26,grip
1598,26,given
2488,26,beautiful
3383,26,problems
1438,26,flips
4302,26,five
895,26,gave
4452,26,flip
870,25,yes
348,25,skins
2602,25,might
2238,25,cleanup
2848,25,nothing
2445,25,6
2648,25,weight
2857,25,sometimes
4480,25,compared
1359,25,awesome
3420,24,results
2763,24,store
4487,24,40
735,24,three
1335,24,easiest
1972,24,week
3487,24,smaller
1201,24,leave
3577,24,tools
435,24,needed
2131,24,favorite
3065,24,larger
2211,24,gone
2672,24,research
1696,23,pain
4002,23,trying
412,23,already
3075,23,beautifully
2608,23,return
2607,23,someone
2780,23,believe
1796,23,aluminum
3902,23,loved
63,22,force
1568,22,place
1418,22,maybe
3262,22,anything
2732,22,done
1716,22,forever
3213,22,absolutely
315,22,rosle
418,22,wash
492,22,seen
2166,22,area
2001,22,model
2754,22,wonderful
3547,22,30
3586,22,next
2999,21,simply
