,counts,words
253,392,garlic
1324,247,press
271,150,easy
1120,122,use
484,114,one
911,109,clean
1107,107,great
1038,103,br
1334,85,works
820,71,good
926,68,oxo
1302,68,well
400,58,love
355,49,time
433,49,product
223,49,much
193,49,best
1017,45,like
1200,44,quality
832,42,heavy
909,39,sturdy
469,37,cloves
1063,36,nice
985,35,used
963,35,presses
552,32,get
36,31,would
446,30,years
990,30,cleaning
776,29,dishwasher
940,28,last
110,27,little
1110,27,34
843,26,really
1005,25,using
1263,25,job
208,25,kitchen
1260,23,bought
1029,23,back
972,23,grip
994,23,makes
409,23,handles
22,22,ever
726,22,large
1348,22,cleans
896,22,also
828,22,easily
1367,22,made
584,22,duty
251,21,hand
1216,21,comfortable
1073,21,holes
1244,21,handle
893,20,built
1206,20,lot
1220,20,clove
132,19,tool
697,19,rubber
95,19,easier
283,19,old
733,19,design
357,18,excellent
1016,18,bit
474,18,thing
92,18,better
11,17,every
853,17,put
1360,17,buy
1240,17,squeeze
448,16,still
248,16,several
478,16,first
157,16,grips
778,16,broke
1171,16,perfect
1178,16,hands
721,16,far
637,15,around
24,15,never
375,14,item
966,14,solid
845,14,since
740,14,crush
261,14,left
837,14,hard
887,14,cleaner
1128,13,pretty
1014,13,big
1135,13,high
1111,13,products
40,13,recommend
1080,13,go
970,13,pressed
1293,12,gets
32,12,highly
1040,12,hinge
605,12,different
1202,12,durable
1373,12,piece
768,11,two
653,11,knife
797,11,tried
166,11,metal
572,11,3
1248,11,ones
495,11,2
282,11,right
1204,10,perfectly
884,10,part
1371,10,flip
393,10,water
325,10,inside
834,10,another
1047,10,long
19,10,cooking
1287,10,almost
61,10,want
1094,10,try
1145,10,something
425,10,awesome
426,10,drawer
477,10,think
870,10,done
1335,10,soft
679,10,enough
1025,9,minced
1251,9,stuff
529,9,price
915,9,fine
897,9,without
434,9,may
156,9,recommended
683,9,longer
682,9,buying
791,9,purchased
295,9,peel
1370,9,wish
1323,9,know
202,9,mincing
231,9,worked
108,9,got
1197,9,owned
246,9,make
923,9,feels
1142,9,pieces
1218,9,need
493,9,plastic
1192,9,times
786,9,pressing
831,9,found
56,9,work
356,9,push
646,8,chamber
1231,8,device
728,8,small
312,8,stuck
1186,8,red
358,8,skin
754,8,amount
234,8,say
1274,8,waste
300,8,super
467,8,looking
1372,8,problem
80,8,purchase
583,8,comes
931,8,see
579,8,many
866,8,feel
835,8,weight
18,8,even
101,8,side
946,8,whole
1190,7,could
829,7,always
359,7,hold
731,7,past
624,7,money
376,7,quick
225,7,expected
1307,7,less
750,7,strong
1151,7,instead
545,7,mince
522,7,take
13,7,force
315,7,happy
8,7,worth
1311,7,day
822,7,gadget
699,7,5
1086,7,helps
401,6,extra
1362,6,construction
767,6,takes
437,6,designed
99,6,break
98,6,safe
368,6,cook
1361,6,brand
227,6,life
153,6,strength
503,6,10
1078,6,rinse
278,6,replace
1015,6,couple
706,6,prongs
183,6,amazon
650,6,images
123,6,wash
551,6,going
1061,6,definitely
906,6,nothing
128,6,top
1347,6,getting
525,6,sure
1246,5,overall
293,5,everything
535,5,especially
708,5,wife
1388,5,friends
14,5,chef
67,5,feature
20,5,fingers
916,5,find
489,5,size
497,5,bits
255,5,dishes
16,5,second
1224,5,able
43,5,tell
886,5,kind
285,5,people
895,5,self
549,5,behind
273,5,gave
898,5,build
1387,5,else
1070,5,ago
989,5,uses
1076,5,fresh
198,5,away
1327,5,crusher
788,5,pushes
1326,5,crushes
1167,5,including
1188,5,completely
1320,5,crushed
1168,5,looks
950,5,simple
821,5,food
1056,5,ordered
1300,5,pampered
154,5,convenient
623,5,model
419,5,reviews
205,5,however
948,5,liked
659,5,throw
1282,5,value
848,5,issue
842,5,expect
1338,5,home
382,5,chopping
1081,5,issues
463,5,year
363,5,finally
665,5,chop
941,5,reverse
1210,4,steel
631,4,seems
415,4,easiest
404,4,market
308,4,finely
1060,4,scrape
1066,4,problems
1119,4,tools
1208,4,exactly
420,4,making
1055,4,nubs
610,4,pad
577,4,come
1222,4,soak
366,4,cheap
399,4,usually
1102,4,pushing
560,4,held
1129,4,started
461,4,crushing
681,4,trying
457,4,half
389,4,goes
1125,4,next
1150,4,holds
391,4,peeled
442,4,basket
1098,4,video
490,4,given
339,4,constructed
1,4,saves
471,4,quite
268,4,ease
301,4,months
1342,4,pressure
52,4,must
218,4,three
59,4,recipes
1363,4,grate
1313,4,add
935,4,probably
146,4,mine
100,4,bread
159,4,though
827,4,bigger
1322,4,five
232,4,exception
134,4,took
113,4,struggle
114,4,wanted
129,4,needed
150,4,seem
880,4,store
181,4,stop
780,4,glad
977,4,beautifully
15,4,dish
288,4,chunks
290,4,pain
195,4,said
185,4,nicely
793,4,huge
30,4,fantastic
1075,3,literally
1291,3,parts
141,3,feeling
638,3,read
443,3,typical
1317,3,jars
953,3,simply
625,3,rest
1245,3,means
613,3,week
430,3,1
1294,3,difficult
614,3,finish
969,3,replaced
964,3,presser
414,3,effort
1303,3,thought
449,3,thank
816,3,actually
957,3,described
958,3,due
806,3,remnants
1305,3,usual
116,3,days
1336,3,italian
1077,3,requires
599,3,cast
510,3,future
556,3,cannot
885,3,believe
920,3,8
1105,3,let
890,3,cleaned
1379,3,compared
35,3,unit
520,3,note
28,3,leaves
25,3,dry
1108,3,larger
21,3,new
12,3,enjoy
1386,3,chance
1116,3,snapped
907,3,extremely
509,3,require
922,3,cheaper
882,3,trapped
1343,3,although
456,3,corroded
1079,3,results
641,3,grid
1158,3,efficiently
1157,3,fits
1156,3,wrist
103,3,skins
938,3,silicone
881,3,option
1351,3,functional
81,3,third
865,3,dont
75,3,arthritis
60,3,give
1097,3,smaller
564,3,husband
187,3,bad
807,3,help
259,3,mother
698,3,cleanup
657,3,broken
1044,3,garbage
764,3,chunky
1023,3,continue
763,3,ask
677,3,stars
1000,3,spend
226,3,threw
1276,3,unpeeled
734,3,residue
664,3,favorite
1232,3,class
1268,3,otherwise
674,3,sides
347,3,smell
1006,3,cut
327,3,attached
1027,3,often
741,3,version
266,3,previous
1214,3,loves
1235,3,looked
280,3,gift
702,3,separate
1239,3,pleased
191,3,decided
704,3,important
782,3,none
305,3,wasting
1285,3,layer
647,3,either
203,3,adding
337,3,annoying
306,3,son
209,3,received
1035,3,rub
1021,3,mincer
313,3,way
213,3,tough
1013,3,complaint
655,3,seconds
263,3,thanks
380,3,says
1096,2,rack
925,2,remove
1090,2,putting
869,2,vacuvin
732,2,zero
934,2,visiting
876,2,least
879,2,compartment
929,2,bulky
537,2,room
873,2,heads
878,2,wonderful
680,2,ended
790,2,pushed
684,2,pulp
720,2,returning
912,2,particularly
904,2,significant
544,2,recipe
714,2,zinc
715,2,dishwater
891,2,dislodging
1106,2,others
1010,2,input
693,2,film
554,2,truly
567,2,seal
555,2,ssl
722,2,fan
1103,2,spacing
559,2,aluminum
561,2,hinges
1028,2,absolutely
725,2,washing
1100,2,sturdier
1099,2,picked
689,2,deep
675,2,start
936,2,available
937,2,recently
758,2,smushed
663,2,oh
612,2,pan
1042,2,replacement
761,2,family
1043,2,block
983,2,relatively
770,2,6
771,2,taken
1045,2,impressed
961,2,gap
809,2,soon
808,2,sooo
981,2,anymore
1046,2,live
805,2,dream
775,2,company
630,2,jarred
1057,2,single
802,2,short
978,2,ready
635,2,heavier
794,2,rather
1053,2,us
645,2,disappointed
757,2,luck
991,2,robust
836,2,house
1034,2,run
1002,2,ergonomic
1031,2,pros
855,2,div
586,2,pot
587,2,pop
942,2,grille
1085,2,squeezing
643,2,mom
999,2,consistency
841,2,oil
1033,2,minimal
596,2,hidden
839,2,idea
995,2,spent
597,2,case
598,2,squeezes
745,2,loose
600,2,squeezed
746,2,hours
602,2,someone
748,2,excess
752,2,allows
603,2,everyday
840,2,accidentally
540,2,cushioned
0,2,saver
455,2,sooner
1221,2,heft
370,2,cool
1207,2,shelf
1211,2,loved
354,2,together
147,2,ginger
352,2,update
350,2,models
341,2,na
372,2,cleaners
331,2,smashed
162,2,plenty
328,2,bargain
323,2,flawlessly
167,2,points
322,2,true
169,2,came
1318,2,smart
130,2,ton
89,2,fit
1184,2,unpressed
1177,2,cutting
422,2,claim
1344,2,pasta
102,2,lasting
411,2,https
410,2,wonderfully
408,2,creamy
405,2,bulbs
126,2,thick
107,2,washed
403,2,rarely
1187,2,utensil
117,2,silicon
1333,2,lose
1330,2,sized
387,2,peels
1233,2,url
172,2,pops
319,2,form
211,2,com
264,2,yes
201,2,terms
258,2,materials
204,2,weak
257,2,efficient
207,2,wear
252,2,afraid
212,2,asked
317,2,head
1262,2,opening
245,2,things
215,2,chrome
1266,2,etc
217,2,fro
219,2,tiny
220,2,quickly
265,2,yet
197,2,lots
272,2,save
194,2,00
307,2,complaints
1297,2,dust
1295,2,practice
302,2,plus
297,2,losing
1247,2,flips
289,2,hassle
1249,2,smash
286,2,successfully
284,2,deal
1289,2,vs
192,2,result
279,2,apart
277,2,30
275,2,breaks
1176,2,material
1329,2,lost
63,2,absolute
910,2,clear
487,2,open
47,2,arms
48,2,separates
1146,2,slip
50,2,hole
1148,2,hesitate
1368,2,tossed
1366,2,eat
1152,2,struggled
475,2,place
1153,2,peeling
1154,2,tact
470,2,earlier
65,2,end
468,2,mess
44,2,hurt
42,2,type
1377,2,happen
517,2,saw
2,2,four
4,2,hate
5,2,poorly
530,2,knew
524,2,wanting
1385,2,stay
26,2,daughter
1138,2,thin
513,2,nicer
27,2,items
1382,2,conclusion
508,2,notches
506,2,effective
1134,2,dicing
458,2,name
1277,2,improved
77,2,law
1353,2,champ
451,2,happened
452,2,non
450,2,hot
1173,2,willing
1164,2,produces
76,2,wrong
441,2,maybe
1356,2,stainless
919,1,removable
1340,1,preheat
976,1,drawbacks
975,1,hoping
974,1,costly
1290,1,swinging
932,1,individual
1286,1,manually
945,1,forgotten
973,1,pound
1378,1,functions
918,1,starters
971,1,fun
1380,1,ingredients
1383,1,kinds
1341,1,worthless
1381,1,incredibly
1288,1,surface
944,1,alot
1284,1,frustrating
933,1,feared
1376,1,beats
986,1,bonus
1278,1,present
1279,1,multi
939,1,sold
984,1,higher
1390,1,searched
1352,1,doesnt
1280,1,unlike
1346,1,r2xmnzfsouwqxj
1281,1,harder
982,1,virtually
1389,1,81iqs7tgvks
913,1,fond
914,1,giggled
980,1,leaving
1354,1,brush
1384,1,sooooo
979,1,rid
1283,1,ultra
917,1,nervous
1345,1,paste
1355,1,squishing
943,1,became
921,1,dominant
949,1,point
930,1,vine
1309,1,advertised
1310,1,recommending
1312,1,reasons
956,1,consuming
955,1,expensive
987,1,painless
924,1,preparing
954,1,asda
1314,1,attractive
1365,1,highest
1315,1,voila
928,1,creates
1316,1,wet
1328,1,helpful
952,1,accuired
951,1,hollow
1364,1,delivers
927,1,overfull
1359,1,function
1358,1,powdered
1319,1,identical
1321,1,increases
1331,1,slathered
959,1,pc
1292,1,digging
960,1,lived
1325,1,immediately
1375,1,utensils
1296,1,upon
1339,1,leak
968,1,bill
1374,1,minutes
967,1,reliable
1298,1,frequently
965,1,look
1299,1,tighter
1301,1,variety
1357,1,inner
1337,1,racking
1369,1,places
1349,1,swear
1304,1,350
1306,1,stores
947,1,load
1332,1,epoxy
962,1,prices
1308,1,heafty
1350,1,schmutz
1114,1,thats
988,1,walmart
1067,1,tendinitis
1069,1,structure
1174,1,choose
1172,1,superior
1170,1,bunch
1071,1,happier
1169,1,brittle
1072,1,required
1166,1,produced
1074,1,cooked
1165,1,move
1163,1,allow
1162,1,honestly
1161,1,scoop
1160,1,lines
1159,1,bind
1068,1,meals
1175,1,flex
1194,1,hence
1065,1,elements
1191,1,diminished
1051,1,dull
1189,1,backwards
1052,1,raising
1054,1,similar
1185,1,cest
1058,1,disappoints
1183,1,respects
1182,1,82
1059,1,amounts
1181,1,related
1180,1,freshness
1062,1,functionality
1179,1,handy
1064,1,brushing
1155,1,bothered
1082,1,compact
1083,1,corroding
1084,1,send
1132,1,heartily
1104,1,desired
1131,1,occurred
1130,1,becomes
1127,1,cram
1126,1,doubt
1124,1,remains
1123,1,zip
1122,1,crap
1109,1,35
1121,1,bested
1118,1,gimmick
1117,1,apply
1112,1,opinion
1115,1,apprehensive
1133,1,baby
1101,1,odd
1136,1,account
1092,1,entire
1149,1,sit
1087,1,lifechanging
1088,1,include
1089,1,engineered
1147,1,onions
1091,1,sturday
1093,1,magic
1137,1,rubberized
1144,1,effectively
1095,1,joes
1143,1,tad
1141,1,purposes
1140,1,bent
1139,1,praise
1193,1,removing
1050,1,line
1275,1,finished
1257,1,tend
1003,1,reviewed
1004,1,shape
1255,1,clearing
1254,1,powder
1253,1,exerted
1113,1,salvation
1007,1,hated
1008,1,tjmaxx
1009,1,snap
1250,1,brain
1011,1,remaining
1012,1,ridiculously
1243,1,meant
1242,1,local
1018,1,knock
1256,1,rowav
1001,1,chore
1049,1,hoped
1258,1,genius
1273,1,decent
1272,1,addition
1271,1,yay
1270,1,packaging
1269,1,co
1267,1,attributes
992,1,picky
993,1,older
1265,1,wacking
1264,1,key
1261,1,comparable
996,1,person
997,1,priced
1259,1,horrible
998,1,edge
1241,1,jar
1019,1,rotate
1020,1,success
1238,1,anyway
1036,1,feelings
1037,1,assists
1213,1,bother
1039,1,anything
1212,1,slack
1209,1,foamy
1041,1,deserves
1205,1,prone
1203,1,wrapped
1201,1,ordering
1199,1,precisely
1198,1,blows
1196,1,powerful
1195,1,retail
1048,1,butters
1215,1,lightly
1217,1,tonight
1219,1,misaligned
1230,1,courtesy
1237,1,fact
1236,1,outlive
1022,1,collect
1234,1,face
1024,1,neatest
1026,1,google
1229,1,camper
1032,1,seller
1030,1,tablespoons
1228,1,ray
1227,1,soap
1226,1,concerns
1225,1,purchasing
1223,1,fanatic
1252,1,knowing
696,1,storage
908,1,appear
476,1,star
309,1,wal
310,1,amazingly
311,1,flying
314,1,naught
316,1,fork
318,1,medium
320,1,attempted
321,1,removed
324,1,versions
326,1,wacked
329,1,devices
330,1,ruined
332,1,zyliss
333,1,daddy
334,1,exerting
335,1,toss
336,1,awhile
338,1,mold
340,1,weakened
342,1,generally
343,1,handed
344,1,tin
345,1,holding
346,1,test
348,1,picture
349,1,intend
351,1,felt
304,1,raised
303,1,slightly
299,1,manufacturing
256,1,failing
237,1,neat
238,1,cracked
239,1,trimming
240,1,extrudes
241,1,cons
242,1,shame
243,1,id
244,1,damaged
247,1,drawback
249,1,fairly
250,1,plating
254,1,shortly
260,1,claims
298,1,post
262,1,disguise
267,1,terrific
269,1,elf
270,1,spread
