,counts,words
613,1455,garlic
3062,1095,press
944,538,br
1145,510,one
2556,381,use
2046,360,clean
644,342,easy
3077,227,works
1116,225,cloves
2531,224,great
3024,218,well
298,215,cleaning
773,212,zyliss
1622,199,time
328,190,tool
475,187,best
2309,183,love
2189,167,presses
2226,166,used
277,164,little
1047,154,years
703,154,peel
1398,152,good
1287,148,get
3070,144,like
2002,133,cleaner
2914,128,bought
104,125,would
2803,122,clove
1903,121,really
535,118,much
50,113,even
2255,104,product
2686,103,hands
677,101,old
2439,99,holes
1876,97,easily
1484,95,using
1161,93,2
2865,91,handle
1343,91,comes
2798,91,need
3165,89,made
61,88,ever
2540,87,makes
218,85,better
1134,84,thing
2478,81,without
611,81,hand
1138,79,first
3152,79,buy
505,79,kitchen
1158,78,plastic
2021,75,also
1688,74,large
840,74,skin
1769,74,broke
2921,73,job
223,72,easier
2766,71,lot
68,71,never
1069,70,3
3161,70,squeeze
1053,69,still
2632,69,peeling
1895,65,hard
1753,64,two
3134,64,brush
755,64,recommend
58,61,new
1744,60,put
2213,60,34
27,59,every
1778,57,pressing
1395,57,susi
134,56,work
1936,56,dishwasher
1691,56,small
2287,56,bit
2421,51,nice
2750,51,quality
1572,49,enough
1337,49,many
2137,49,last
601,48,several
1442,48,model
1878,48,always
309,47,another
1136,46,think
2981,45,coating
2199,45,pressed
265,45,got
628,45,left
1230,44,price
2742,44,owned
2959,44,unpeeled
676,43,right
1908,43,since
2980,43,almost
1418,43,finish
370,43,strength
1699,42,design
2775,42,steel
984,41,reviews
3117,41,getting
3119,41,cleans
1814,41,tried
3002,41,gets
2432,41,ago
1097,41,year
747,39,way
2374,39,long
2040,38,sturdy
190,38,purchase
590,38,make
143,38,could
3004,38,difficult
2570,37,pretty
1856,37,actually
3140,37,stainless
2280,37,big
748,37,happy
2315,35,back
1629,35,fresh
2060,35,find
482,35,away
1795,35,purchased
1670,35,far
2953,34,waste
1984,34,part
414,34,cooking
878,33,item
1298,33,aluminum
2293,33,lost
1011,33,1
404,33,metal
411,32,came
2457,32,go
3176,32,piece
1723,32,strong
1614,32,5
498,32,however
3027,32,thought
9,32,worked
21,31,worth
1226,31,sure
94,31,highly
918,31,water
2203,31,larger
154,31,want
384,30,blue
141,30,plunger
1405,30,different
1333,30,come
2666,30,perfect
2488,30,try
1462,30,seems
127,30,hold
1260,30,cheap
714,30,months
1219,30,take
1749,30,takes
2059,30,fine
850,29,finally
1886,29,found
996,29,awesome
3061,29,know
2100,29,see
3154,28,brand
360,28,ginger
159,28,end
769,28,attached
387,28,though
1709,28,crush
768,27,inside
2496,27,smaller
1468,27,4
1474,27,around
211,27,fit
3175,27,problem
1153,27,size
1278,27,going
2636,26,fits
2808,26,able
976,26,effort
960,26,handles
2688,26,day
3106,26,pressure
146,26,give
1710,26,version
637,26,previous
124,26,excellent
2733,25,times
243,25,went
1163,25,bits
2588,25,drawer
2086,25,oxo
1519,25,knife
407,25,definitely
3131,25,included
2448,25,rinse
865,25,cook
91,24,fantastic
