,counts,words
3815,7294,garlic
7022,5104,press
1225,2585,br
335,2311,easy
2813,1996,clean
4805,1986,use
3248,1971,one
1354,1409,great
3351,1297,well
5209,1145,works
491,929,love
2242,908,product
5204,867,like
4527,850,good
430,841,time
1151,809,presses
2909,794,used
250,776,best
5352,738,would
5904,715,cloves
287,707,much
1031,655,really
3192,651,quality
62,647,peeler
4196,643,get
7074,583,made
6849,555,clove
4126,551,little
2917,527,cleaning
553,505,years
6917,497,bought
5479,492,tool
1075,491,also
2081,480,peel
1983,476,kitchen
6643,476,nice
3497,469,ever
2496,425,using
3491,420,even
1514,412,lot
4536,411,easily
2031,400,hand
3531,399,recommend
5266,393,buy
1362,391,makes
6955,384,last
4909,383,34
3155,381,hands
4118,378,first
3585,377,better
5261,353,stainless
2422,353,comes
2810,352,sturdy
1518,343,steel
6923,342,job
4113,342,thing
2114,337,zyliss
352,324,old
108,323,easier
3222,320,need
3804,308,make
2715,306,heavy
3947,303,skin
1289,301,holes
1747,301,worth
2366,298,price
1569,298,handle
4768,298,bit
5317,296,every
3501,291,never
6258,289,design
7073,289,squeeze
2745,277,dishwasher
4546,276,hard
912,275,small
4266,275,pressing
2741,274,put
1794,265,work
2257,262,still
1775,256,highly
2103,253,way
3016,251,kuhn
3659,251,ginger
717,247,many
907,247,large
622,245,2
4460,244,two
5822,241,handles
3137,241,peeling
5362,240,excellent
6099,239,without
5445,233,got
5654,232,gift
4337,229,knife
4714,228,solid
2672,227,tried
2653,224,broke
6855,222,rikon
5773,221,cook
1498,221,owned
4116,221,think
4019,219,reviews
1402,217,high
394,215,happy
1491,213,could
1884,212,another
22,212,cooking
5428,211,several
6235,207,far
1401,204,pieces
4122,203,long
3569,202,purchase
1442,198,perfect
1155,198,pressed
2722,195,since
2411,194,3
5932,189,plastic
351,188,right
3430,188,piece
1292,187,fresh
205,185,came
4189,185,enough
1020,184,always
3832,181,left
4783,178,back
3495,177,new
6116,176,seems
3402,176,cleans
4601,174,built
6776,173,looks
2964,173,minced
4630,173,find
6200,173,5
2826,173,pretty
3970,172,item
3989,172,box
3685,170,definitely
3049,169,go
4486,169,purchased
6420,169,cleaner
73,169,want
1023,168,found
2839,165,oxo
6631,164,say
7020,164,know
4589,163,part
1115,162,set
5382,161,times
2694,161,actually
6982,161,gets
5156,158,almost
5966,158,sure
4294,158,money
4763,156,big
2617,156,strong
781,156,around
2833,153,feels
297,152,worked
5570,152,however
5519,151,metal
5175,149,thought
2807,148,alpha
2190,148,peeled
3878,147,super
523,145,awesome
7049,143,getting
6389,143,feel
6034,142,duty
1117,142,see
3551,142,give
3557,142,amazing
5849,141,1
6984,141,difficult
3200,140,perfectly
5101,138,mincing
834,138,sides
6269,138,crush
675,137,mince
7081,137,year
1640,137,less
189,136,recommended
447,133,cheap
685,132,going
1328,132,try
4688,132,expensive
6954,132,unpeeled
4629,131,fine
3196,131,durable
2086,130,months
2289,130,looking
1965,129,away
2642,129,takes
5511,127,though
4683,125,simple
4987,125,day
5545,124,amazon
401,124,inside
5805,124,water
652,123,take
6712,123,grillers
1680,122,pressure
6026,122,come
6018,121,review
1984,120,received
1609,119,waste
3596,118,side
1714,117,problem
2551,117,stars
1284,115,ago
594,115,quite
4897,112,others
5384,112,end
6747,112,something
3956,112,finally
5471,112,top
2320,111,size
4051,110,designed
4626,110,hopper
1912,110,strength
4015,109,effort
4751,108,cut
5701,108,stuck
291,107,life
1198,107,couple
